date,open,high,low,close,volume,ma5,ma10,ema12,ema26,MACD,DEA
2015-03-20,34.8,36.0,33.99,34.61,8179989,34.746,31.230999999999995,31.773531233955325,30.016603872645145,1.7569273613101792,0.5634006862779538
2015-03-23,34.59,35.1,33.85,34.7,8547441,35.112,31.983000000000004,32.2237571979622,30.36352210430106,1.8602350936611387,0.8227675677545908
2015-03-24,34.66,35.5,33.5,34.97,9149022,35.272,32.751,32.6462560905834,30.70474268916765,1.941513401415751,1.046516734486823
2015-03-25,35.3,36.0,34.3,35.19,7299224,34.926,33.563,33.03760130741672,31.036983971451527,2.0006173359651953,1.2373368547824974
2015-03-26,34.86,35.48,33.8,34.62,6230868,34.818,34.309,33.28104726012184,31.302392566158822,1.9786546939630156,1.3856004226186012
2015-03-27,34.43,35.43,34.41,34.68,4868008,34.83200000000001,34.789,33.496270758564634,31.552585709406316,1.9436850491583186,1.4972173479265447
2015-03-30,34.68,36.3,34.21,35.2,5554388,34.932,35.022,33.758382949554694,31.82276454574659,1.9356184038081032,1.5848975591028565
2015-03-31,34.9,34.9,33.65,34.06,7725121,34.75,35.010999999999996,33.804785572700126,31.988485690506103,1.8162998821940235,1.6311780237210898
2015-04-01,34.14,34.47,33.8,34.34,4909720,34.58,34.753,33.88712625382318,32.1626719356538,1.7244543181693857,1.649833282610749
2015-04-02,34.29,37.77,34.17,37.77,13110224,35.21,35.013999999999996,34.484491445542695,32.578029570049814,1.9064618754928802,1.7011590011871751
2015-04-03,36.81,37.5,36.56,37.31,7515475,35.736000000000004,35.284,34.91918506930536,32.92854589819427,1.9906391711110842,1.759055035171957
2015-04-07,37.0,38.78,37.0,38.53,10573363,36.402,35.667,35.47469505864299,33.343468424253956,2.131226634389037,1.833489355015373
2015-04-08,38.8,40.56,38.01,40.52,17235490,37.694,36.222,36.25089581885177,33.8750633557907,2.375832463061066,1.9419579766245116
2015-04-09,40.0,40.0,38.26,38.88,9205721,38.602000000000004,36.591,36.655373385182266,34.245799403509906,2.4095739816723594,2.035481177634081
2015-04-10,38.89,42.67,38.3,41.03,7205344,39.254000000000005,37.232000000000006,37.328392864384995,34.74833278102769,2.580060083357303,2.1443969587787253
2015-04-13,40.93,42.18,40.0,41.7,5861569,40.132,37.934000000000005,38.00094780832576,35.26327109354416,2.7376767147815997,2.2630529099793
2015-04-14,41.45,41.45,39.5,39.9,5462929,40.406,38.404,38.293109683967955,35.606732494022374,2.6863771899455813,2.3477177659725563
2015-04-15,39.0,39.02,37.11,37.36,5990472,39.774,38.734,38.14955434797289,35.73660416113183,2.4129501868410586,2.3607642501462567
2015-04-16,36.49,37.9,34.8,36.7,4797352,39.338,38.97,37.92654598674629,35.807966815862805,2.1185791708834856,2.3123272342937025
2015-04-17,36.71,40.15,36.7,39.58,7069251,39.048,39.150999999999996,38.18092352724686,36.08737668135445,2.093546845892412,2.2685711566134446
2015-04-20,39.0,39.5,37.73,37.78,4794830,38.263999999999996,39.198,38.1192429845935,36.21275618643931,1.9064867981541909,2.196154284921594
2015-04-21,37.3,40.66,37.3,40.39,5192763,38.362,39.384,38.46859021773296,36.52218165411047,1.9464085636224908,2.146205140661773
2015-04-22,40.99,42.45,40.52,40.66,4613095,39.022,39.398,38.80573018423558,36.82868671676895,1.977043467466629,2.1123728060227442
2015-04-23,40.56,41.58,39.62,41.5,3413140,39.982,39.660000000000004,39.22023323281472,37.17470992293421,2.045523309880508,2.099002906794297
2015-04-24,41.2,41.35,39.55,39.85,3188877,40.035999999999994,39.541999999999994,39.317120427766305,37.372879558272416,1.944240869493889,2.0680504993342153
2015-04-27,39.85,40.48,38.7,39.99,3243849,40.477999999999994,39.370999999999995,39.4206403619561,37.56674033173372,1.853900030222384,2.025220405511849
2015-04-28,40.1,41.08,39.19,39.44,3028892,40.288,39.325,39.42361876780901,37.705500307160854,1.7181184606481565,1.9638000165391105
2015-04-29,39.0,39.87,38.53,39.46,2169997,40.048,39.535000000000004,39.429215880453775,37.83546324737116,1.593752633082616,1.8897905398478116
2015-04-30,39.2,39.95,38.0,38.05,2841432,39.358,39.67,39.217028821922426,37.851354858677,1.3656739632454276,1.784967224527335
2015-05-04,38.05,38.5,36.61,37.43,2964842,38.874,39.455,38.94210131085744,37.82014338766389,1.1219579231935484,1.6523653642605776
2015-05-05,37.41,39.33,37.41,37.6,3011190,38.396,39.437,38.735624186110144,37.80383647005916,0.9317877160509838,1.5082498346186588
2015-05-06,37.69,38.2,37.06,37.63,2012810,38.034000000000006,39.161,38.565528157477814,37.79095969449922,0.7745684629785927,1.3615135602906456
2015-05-07,37.61,37.61,36.01,36.41,2092119,37.424,38.736000000000004,38.23390844094276,37.68866638379558,0.5452420571471848,1.1982592596619535
2015-05-08,37.2,38.85,36.54,38.81,3699794,37.576,38.467,38.322537911566954,37.77172813314405,0.5508097784229022,1.0687693634141433
2015-05-11,39.18481268,40.70438918,38.64789565,40.68412816,4079585,38.226825632,38.550412816000005,38.68585948824896,37.98746146846671,0.6983980197822461,0.9946950946877638
2015-05-12,40.84621632,44.64515757,40.26877725,44.25006768,6397775,39.556839167999996,38.976419584,39.54189151774912,38.451358224876586,1.0905332928725358,1.0138627343247182
2015-05-13,43.16610311,48.1199225,42.86218781,45.91147132,7663460,41.213133432,39.623566716,40.52182687194156,39.00395919488573,1.5178676770558326,1.114663722870941
2015-05-14,45.41507633,47.77548516,44.8781593,45.51638143,4422781,43.034409718000006,40.229204859,41.29021988087363,39.48636084193123,1.8038590389423987,1.2525027860852327
2015-05-15,45.47585939,46.68139008,42.9533624,45.59742551,4225886,44.391894820000005,40.98394741,41.952866900739224,39.93903229882521,2.013834601914013,1.4047691492509888
2015-05-18,44.55398298,50.15615501,43.67262861,50.15615501,4954647,46.286300190000006,42.256562911,43.21491122524088,40.695856203356676,2.5190550218842063,1.6276263237776323
2015-05-19,50.7538551,53.16491648,48.40357678,50.06498042,4740075,47.449282738,43.503060953,44.26876802443459,41.389865404589514,2.8789026198450784,1.8778815829911215
2015-05-20,49.99406685,51.94925528,48.74801412,49.28493115,3390210,48.123974704,44.668554068,45.04048542836773,41.974685089434736,3.065800338932995,2.115465334179496
2015-05-21,49.27480064,50.65255,48.55553443,49.639499,3100327,48.948598217999994,45.991503967999996,45.74802597784962,42.54244908280994,3.205576895039684,2.3334876463515335
2015-05-22,50.3486347,50.8551602,47.59313598,49.41662778,4229149,49.712438672,47.052166746,46.312426255103524,43.05164750482402,3.2607787502795063,2.518945867137128
2015-05-25,49.3355837,53.4890928,48.13005301,52.34434517,5050907,50.150076704,48.218188447,47.24041378047221,43.73999548002224,3.5004183004499723,2.7152403537996967
2015-05-26,52.42538925,57.53116629,51.1590755,57.46025272,4764091,51.629131164,49.539206951,48.812696694245716,44.7563108311317,4.056385863114016,2.9834694556625605
