date,open,high,low,close,volume,ma5,ma10,ema12,ema26,MACD,DEA
2015-03-24,20.48,20.66,19.8,20.17,12577059,20.357999999999997,19.719,19.89952278036354,18.330027085991357,1.5694956943721827,1.894954731741933
2015-03-25,20.02,20.65,19.96,20.43,9828559,20.474,19.865000000000002,19.98113466030761,18.485580635177183,1.4955540251304278,1.815074590419632
2015-03-26,20.18,21.49,20.11,20.81,16904091,20.474,20.115000000000002,20.10865240487567,18.65775984738628,1.4508925574893894,1.7422381838335834
2015-03-27,20.9,21.1,20.5,20.52,11426444,20.490000000000002,20.277,20.171936650279413,18.795703562394703,1.3762330878847102,1.6690371646438087
2015-03-30,20.32,20.4,20.1,20.13,8936276,20.412,20.339000000000002,20.165484857928735,18.89454033555065,1.270944522378084,1.5894186361906637
2015-03-31,20.19,20.39,20.08,20.18,6441047,20.413999999999998,20.386000000000003,20.16771795670893,18.989759569954305,1.177958386754625,1.507126586303456
2015-04-01,20.05,20.33,20.05,20.31,6670672,20.389999999999997,20.432,20.189607501830633,19.0875551573651,1.102052344465534,1.4261117379358716
2015-04-02,20.76,20.99,20.35,20.7,11049791,20.368,20.421,20.26812942462592,19.206995516078795,1.0611339085471236,1.353116172058122
2015-04-03,20.61,21.3,20.5,21.28,16772418,20.52,20.505000000000003,20.423801820837316,19.36055140377666,1.0632504170606545,1.2951430210586286
2015-04-07,21.32,22.38,21.07,22.31,23111923,20.956,20.684,20.713986156093114,19.579029077570983,1.134957078522131,1.2631058325513291
2015-04-08,22.1,22.28,21.21,21.57,16220625,21.233999999999998,20.824,20.84568059361725,19.726508405158317,1.1191721884589327,1.2343191037328498
2015-04-09,21.4,21.49,20.2,20.91,12756581,21.354,20.872,20.8555758869069,19.814174449220662,1.0414014376862397,1.1957355705235277
2015-04-10,20.76,21.48,20.57,21.27,9753179,21.468,20.918,20.91933344276738,19.92201337890802,0.9973200638593589,1.156052469190694
2015-04-13,21.35,21.87,21.05,21.7,13583552,21.552,21.035999999999998,21.039435990033937,20.0537160915815,0.9857198984524373,1.1219859550430427
2015-04-14,21.45,21.68,21.08,21.18,11283644,21.326,21.141,21.06106122233641,20.13714452924213,0.9239166930942808,1.0823721026532902
2015-04-15,20.9,23.3,20.82,22.66,26278978,21.544,21.389,21.307051803515424,20.32402271226123,0.9830290912541955,1.0625035003734713
2015-04-16,22.0,22.65,21.2,22.4,15954012,21.842,21.598,21.475197679897665,20.477798807649286,0.9973988722483789,1.0494825747484529
2015-04-17,22.8,24.6,22.4,23.91,26954010,22.369999999999997,21.919,21.8497826522211,20.7320359330086,1.1177467192125015,1.0631354036412626
