date,open,high,low,close,volume,ma5,ma10,ema12,ema26,MACD,DEA
2003-07-18,12.28,12.38,12.12,12.13,1077909,12.322,12.421,12.413848680194638,12.788112054316208,-0.3742633741215702,-0.43565654534804643
2003-07-21,12.08,12.2,11.63,11.84,1885670,12.19,12.377,12.325564267857002,12.717881531774268,-0.3923172639172652,-0.4269886890618902
2003-07-22,11.9,11.99,11.78,11.9,694794,12.069999999999999,12.321,12.260092842032849,12.657297714605804,-0.39720487257295467,-0.4210319257641031
2003-07-23,11.9,11.99,11.8,11.93,410284,12.0,12.258,12.20930932787395,12.603423809820189,-0.39411448194623944,-0.41564843700053034
2003-07-24,12.0,12.0,11.7,11.71,326950,11.902000000000001,12.158999999999999,12.132492508201034,12.537244268352026,-0.404751760150992,-0.41346910163062267
2003-07-25,11.7,11.93,11.5,11.5,797253,11.776,12.049,12.035185968477798,12.46041135958521,-0.4252253911074124,-0.4158203595259806
2003-07-28,11.35,11.45,11.22,11.23,592979,11.654,11.922,11.911311204096599,12.369269777393713,-0.4579585732971143,-0.42424800228020737
2003-07-29,11.3,11.35,11.1,11.25,670976,11.524000000000001,11.797,11.809571018850969,12.28636090499418,-0.4767898861432105,-0.434756379052808
2003-07-30,11.27,11.56,11.27,11.49,1111226,11.436,11.718,11.76040624672005,12.227371208327943,-0.4669649616078928,-0.44119809556382494
2003-07-31,11.6,11.71,11.48,11.66,975825,11.425999999999998,11.664,11.744959131840043,12.185343711414761,-0.44038457957471877,-0.4410353923660037
2003-08-01,11.66,11.79,11.44,11.69,873252,11.463999999999999,11.620000000000001,11.736503880787728,12.148651584643298,-0.4121477038555703,-0.43525785466391703
2003-08-04,11.56,11.86,11.54,11.78,644717,11.574,11.614,11.74319559143577,12.121344059854906,-0.37814846841913585,-0.4238359774149608
2003-08-05,11.78,11.78,11.56,11.58,589337,11.64,11.582,11.718088577368729,12.081244499865653,-0.3631559224969241,-0.4116999664313535
2003-08-06,11.25,11.57,11.25,11.35,713970,11.611999999999998,11.524,11.661459565465847,12.027078240616346,-0.3656186751504986,-0.40248370817518253
2003-08-07,11.45,11.45,11.14,11.16,1557093,11.512,11.469,11.584311940009563,11.962850222792913,-0.37853828278334944,-0.3976946230968159
2003-08-08,11.1,11.28,10.69,10.74,1460002,11.322,11.393,11.454417795392708,11.872268724808253,-0.417850929415545,-0.4017258843605617
2003-08-11,10.68,10.68,10.4,10.49,3358616,11.064,11.318999999999999,11.306045826870752,11.769878448896531,-0.46383262202577846,-0.4141472318936051
2003-08-12,10.57,11.29,10.57,11.08,5051562,10.963999999999999,11.302,11.271269545813714,11.718776341570862,-0.4475067957571479,-0.42081914466631365
2003-08-13,11.01,11.15,10.95,11.03,1718728,10.9,11.256,11.234151154150066,11.667755871824873,-0.43360471767480746,-0.4233762592680124
2003-08-14,10.99,11.28,10.9,10.97,1824389,10.862,11.187,11.193512515050056,11.616070251689697,-0.42255773663964113,-0.42321255474233815
2003-08-15,10.97,11.35,10.91,11.26,2067367,10.966000000000001,11.144,11.203741358888509,11.58969467749046,-0.3859533186019508,-0.4157607075142607
2003-08-18,11.3,11.34,11.15,11.18,762680,11.104000000000001,11.084,11.20008884213643,11.559346923602277,-0.35925808146584615,-0.4044601823045778
2003-08-19,11.33,11.39,11.16,11.32,1300894,11.152,11.058,11.21853671257698,11.54161752185396,-0.3230808092769788,-0.388184307699058
2003-08-20,11.42,11.55,11.28,11.41,2074802,11.228,11.064,11.247992602949752,11.531868075790703,-0.2838754728409505,-0.3673225407274365
2003-08-21,11.4,11.44,11.15,11.27,1001444,11.288,11.075,11.251378356342098,11.512470440546947,-0.261092084204849,-0.346076449422919
2003-08-22,11.18,11.27,11.08,11.09,1005665,11.254,11.11,11.226550916904852,11.481176333839766,-0.25462541693491403,-0.327786242925318
2003-08-25,11.0,11.0,10.58,10.65,1260330,11.148,11.126000000000001,11.137850775842567,11.419607716518302,-0.2817569406757343,-0.31858038247540127
2003-08-26,10.64,10.85,10.55,10.71,491677,11.026,11.089,11.072027579559096,11.36704418196139,-0.29501660240229377,-0.31386762646077976
2003-08-27,10.71,10.84,10.66,10.82,359349,10.908000000000001,11.068000000000001,11.033254105780774,11.32652239070499,-0.29326828492421697,-0.3097477581534672
2003-08-28,10.75,10.83,10.55,10.62,473013,10.778,11.033,10.96967655104527,11.274187398800917,-0.3045108477556475,-0.30870037607390327
2003-08-29,10.51,10.75,10.4,10.69,467735,10.698,10.975999999999999,10.926649389345997,11.230914258148998,-0.30426486880300097,-0.3078132746197228
2003-09-01,10.68,11.18,10.61,11.14,1512505,10.796000000000001,10.972,10.959472560215843,11.22417986865648,-0.26470730844063617,-0.29919208138390546
2003-09-02,11.11,11.45,11.05,11.29,1903028,10.911999999999999,10.969,11.010322935567253,11.229055433941184,-0.2187324983739316,-0.2831001647819107
2003-09-03,11.21,11.24,11.05,11.15,759990,10.977999999999998,10.943000000000001,11.031811714710752,11.223199475871466,-0.19138776116071377,-0.2647576840576713
2003-09-04,11.15,11.19,10.96,10.99,731653,11.052,10.915000000000001,11.02537914321679,11.205925440621728,-0.18054629740493766,-0.2479154067271246
2003-09-05,10.95,11.05,10.71,10.76,667305,11.065999999999999,10.882000000000001,10.984551582721899,11.172893926501601,-0.18834234377970205,-0.23600079413764008
2003-09-09,10.7,10.8,10.63,10.76,282220,10.99,10.892999999999999,10.950005185380068,11.142309191205186,-0.1923040058251182,-0.2272614364751357
