date,open,high,low,close,volume,ma5,ma10,ema12,ema26,MACD,DEA
2001-02-28,20.65,21.2,20.65,21.12,309584,20.796,20.67,20.759819881048838,21.01219832674159,-0.25237844569275225,-0.41143299808555117
2001-03-01,21.2,21.25,21.0,21.2,239819,20.962,20.756,20.827539899349016,21.026109561797767,-0.19856966244875096,-0.36886033095819115
2001-03-02,21.2,21.44,21.19,21.33,382905,21.088,20.814,20.904841453295322,21.048619964627562,-0.14377851133223984,-0.3238439670330009
2001-03-05,21.35,21.4,21.0,21.08,263000,21.125999999999998,20.837,20.93178892201912,21.050944411692186,-0.11915548967306577,-0.2829062715610139
2001-03-06,21.02,21.49,21.01,21.49,214266,21.243999999999996,20.94,21.017667549400795,21.083467047863135,-0.06579949846234001,-0.2394849169412791
2001-03-07,21.49,21.6,21.25,21.32,317300,21.284,21.04,21.064180234108363,21.10098800728068,-0.03680777317231687,-0.19894948818748664
2001-03-08,21.32,21.35,21.2,21.22,279410,21.288,21.125,21.088152505784,21.109803710445075,-0.02165120466107595,-0.1634898314822045
2001-03-12,21.62,21.75,21.38,21.55,652699,21.332,21.21,21.159205966432616,21.142410843004697,0.016795123427918668,-0.12743284050017986
2001-03-13,21.55,21.68,21.25,21.38,262207,21.392,21.259,21.193174279289135,21.160010039819163,0.033164239469972046,-0.09531342450614948
2001-03-14,21.3,21.55,21.25,21.4,345706,21.374000000000002,21.308999999999997,21.22499362093696,21.177787073906632,0.04720654703032778,-0.06680943019885402
2001-03-15,21.55,21.68,21.22,21.31,368736,21.371999999999996,21.327999999999996,21.2380715254082,21.18758062398762,0.05049090142057722,-0.04334936387496777
2001-03-16,21.25,21.3,21.0,21.06,391773,21.339999999999996,21.314,21.21067590611463,21.178130207395945,0.0325456987186854,-0.028170351356237133
2001-03-19,21.1,21.66,21.1,21.62,432232,21.354,21.343,21.273648843635456,21.210861303144394,0.06278754049106183,-0.00997877298677734
2001-03-20,21.65,21.95,21.6,21.92,617970,21.462,21.427,21.373087483076155,21.263390095504068,0.10969738757208702,0.013956459124995532
2001-03-21,21.96,22.0,21.8,21.99,387682,21.58,21.476999999999997,21.467997101064437,21.317213051392656,0.15078404967178116,0.04132197723435266
2001-03-22,22.0,22.05,21.71,21.84,499450,21.686,21.529,21.525228316285293,21.355938010548755,0.16929030573653847,0.06691564293478983
