date,open,high,low,close,volume,ma5,ma10,ema12,ema26,MACD,DEA,code
1991-05-24,39.90687795,39.90687795,39.90687795,39.90687795,300,40.31089595,40.922983220000006,41.21377992480469,43.10069022891793,-1.886910304113236,-1.9396427768110849,stock_000001
1991-05-27,39.50285995,39.50285995,39.50285995,39.50285995,500,40.06848515,40.677542285,40.95056146714243,42.83418428233141,-1.8836228151889856,-1.928438784486665,stock_000001
1991-05-28,39.30085095,39.30085095,39.30085095,39.30085095,300,39.82607435,40.433111395000005,40.69675984912052,42.5724558873439,-1.8756960382233812,-1.9178902352340084,stock_000001
1991-05-29,39.1089424,39.1089424,39.1089424,39.1089424,3600,39.58568364,40.190700595,40.45248024156352,42.31589933272584,-1.8634190911623207,-1.906996006419671,stock_000001
1991-05-30,38.91703385,38.91703385,38.91703385,38.91703385,1400,39.34731302,39.950309885,40.21625771978452,42.06413151919059,-1.8478737994060737,-1.8951715650169516,stock_000001
1991-05-31,38.7251253,38.7251253,38.7251253,38.7251253,100,39.11096249,39.71092922,39.98685273212536,41.81679772517647,-1.8299449930511145,-1.882126250623784,stock_000001
1991-06-03,38.3413082,38.3413082,38.3413082,38.3413082,700,38.87865214,39.473568645,39.7336920348753,41.55935405664488,-1.825662021769574,-1.870833404852942,stock_000001
1991-06-04,38.14939965,38.14939965,38.14939965,38.14939965,100,38.64836188,39.237218115000005,39.48995474489449,41.30676484133785,-1.816810096443362,-1.860028743171026,stock_000001
1991-06-06,53.49921977,53.49921977,53.49921977,53.49921977,400,41.526417354,40.556050497,41.645226287218414,42.20990965086838,-0.5646833636499693,-1.6009596672668147,stock_000001
1991-06-07,53.2273596,53.2273596,53.2273596,53.2273596,100,44.388482504,41.867897762,43.42709295072327,43.02601705450776,0.4010758962155094,-1.20055255457035,stock_000001
1991-06-10,52.68363926,52.68363926,52.68363926,52.68363926,1500,47.180185296000005,43.145573893,44.851176998304304,43.74139647713682,1.1097805211674867,-0.7384859394227826,stock_000001
1991-06-11,52.42608752,52.42608752,52.42608752,52.42608752,1200,49.99714116,44.437896650000006,46.01654784779595,44.38470692475632,1.631840923039633,-0.2644205669302996,stock_000001
1991-06-12,52.16853578,52.16853578,52.16853578,52.16853578,1500,52.800968386,45.724665133,46.9630075296735,44.96128683995955,2.001720689713949,0.1888076843985501,stock_000001
1991-06-13,51.91098404,51.91098404,51.91098404,51.91098404,3400,52.48332124,47.004869297,47.72423468510834,45.47607922514773,2.248155459960614,0.600677239510963,stock_000001
1991-06-14,51.6534323,51.6534323,51.6534323,51.6534323,700,52.16853578,48.278509142,48.3287266258609,45.933660934396045,2.3950656914648576,0.9595549299017418,stock_000001
1991-06-17,51.13832882,51.13832882,51.13832882,51.13832882,500,51.85947369200001,49.519829494,48.760973117266914,46.31919188888523,2.4417812283816858,1.2560001895977306,stock_000001
1991-06-18,50.88077708,50.88077708,50.88077708,50.88077708,1000,51.550411604,50.77377638200001,49.087096803841234,46.657087088227065,2.430009715614169,1.4908020948010183,stock_000001
1991-06-19,50.62322534,50.62322534,50.62322534,50.62322534,5700,51.24134951599999,52.021158951,49.32342427094258,46.950875106876914,2.372549164065667,1.667151508653948,stock_000001
1991-06-20,50.3656736,50.3656736,50.3656736,50.3656736,3000,50.932287428,51.707804334,49.4837703215668,47.20382314340455,2.279947178162253,1.789710642555609,stock_000001
1991-06-21,50.10812186,50.10812186,50.10812186,50.10812186,200,50.62322534,51.39588056,49.57982440440268,47.41895638167088,2.1608680227317976,1.863942118590847,stock_000001
