date,mom30_day_pct,mom30_5day_pct,mom30_20day_pct,mom20_day_pct,mom20_5day_pct,mom20_20day_pct,mom60_day_pct,mom60_5day_pct,mom60_20day_pct,mom90_day_pct,mom90_5day_pct,mom90_20day_pct
2016-06-08,0.01255841922976727,0.022143446780696373,-0.02607534514726379,-0.00928275245169136,0.020202219961913438,-0.017816343995656576,0.004306031776631199,0.03090940924786959,-0.0198564799316191,0.017030142935142732,0.005871662826253479,-0.02229448073135566
2016-06-13,-0.03654834907455633,0.11324226875917046,-0.02551680188032184,-0.052381495093717444,0.11120012839933294,-0.011706935013429029,-0.01745154902132482,0.07345924090617034,-0.02238367724578299,-0.05004814217234656,0.09048773921345701,-0.0036199706193932404
2016-06-14,0.02035198424759806,0.08754482102030312,-0.01501958883620888,0.020300789110971794,0.07732605147279892,0.0026468457444909,0.00635742368585239,0.02268660863972003,-0.01017125615046282,0.011302182018326262,0.020222262111281572,-0.00042318101760738106
2016-06-15,0.08728625581726898,0.025127813342227034,-0.00909593019074376,0.07636521328853307,0.0265396007191852,-0.023745741095572988,0.06832348078779917,-0.0037433875136299683,-0.0194242283656307,0.07739520621527042,-0.020022967150790855,-0.01253575591329196
2016-06-16,0.019826730136887852,-0.015521023193933208,-0.01294527179223127,0.012674871669191509,0.00949399720687,-0.016946098702465252,0.025456849738801423,-0.04939845082506036,-0.02055567497578542,0.022010262950598953,-0.056813535201174103,-0.03066579725719697
2016-06-17,-0.013126534657924103,-0.013483789663259582,-0.027902671169671944,-0.018964684756716442,0.054543512129135406,-0.017823099053955977,-0.006479277457421752,-0.05924446224172051,-0.0433199766141429,-0.004671188681147099,-0.05122013760855778,-0.061737510248430494
2016-06-20,0.010500703110045482,0.020635024717682,-0.0415426968211188,0.035401143534006474,0.05686073770202649,-0.03994497692248034,-0.00825595156965866,-0.04702214805114612,-0.047644177737969085,0.00015561774468887956,-0.043864934710342716,-0.05055759219823439
2016-06-21,-0.029167265379937406,0.01761540191803026,-0.02881433262572387,-0.01446746992806867,0.04855102969001753,-0.034904554634447665,-0.040232854147727884,-0.0130280529075593,-0.04633483653920514,-0.03972644843806848,-0.021917675672704452,-0.03975922195433187
2016-06-22,0.016400572647120283,0.00971420058353108,-0.09378099696630342,0.01309732649231964,0.04638990116656775,-0.10740443604427216,0.01878478253696353,-0.01570671651828383,-0.09949961074739584,0.01403476558777797,-0.023202766572193258,-0.10864410910475406
2016-06-23,-0.0009124931914385294,0.00535023773611541,-0.12149362541793954,0.01044778961573656,0.007076358531748992,-0.09327806421225264,-0.0241098199827711,-0.01077555126991755,-0.09200969380670902,-0.029415645382292653,-0.014929930256633838,-0.10497460414889317
2016-06-24,0.02605048017288104,-0.016048151156132482,-0.09981893248081534,0.019008041877700464,-0.02425000306510946,-0.06941898520971883,0.00835218950662947,-0.02404594549287577,-0.04933306667102177,0.0065007940929133505,-0.011602312663700931,-0.0751833764253733
2016-06-27,0.042324269163112785,-0.03949954392630879,-0.057796370506504935,0.04236842831543923,-0.03234499813928989,-0.04355444473885702,0.024328108830549703,-0.019369874596281422,-0.026142466436308666,0.024264007371942342,-0.00649288071504312,-0.07077577165806379
2016-06-28,0.0026360631987197704,-0.005629308335192431,-0.0640039035370587,0.0040243438338755004,0.011123068170843312,-0.047460884413737095,0.0006685747776561009,0.00465663984037533,-0.029779945053388556,-0.0028809118801252586,0.01777328056073279,-0.08151198171008081
2016-06-29,-0.0079111546157765,0.002569671393231411,-0.010863020955609986,0.0006262117226403606,0.011455346550753923,-0.011265751503180339,0.01640710024542696,0.020752861019817777,-0.009193437880478359,0.00912409375656756,0.024535396079013706,-0.00902094693768746
2016-06-30,-0.02273798930541447,0.042797362751370395,0.019957913673848728,-0.01798471392752735,0.03453246385696974,0.02040691303224761,-0.011852133864665382,0.05883485165067206,0.07544253861033295,-0.02161376460214036,0.06379648056222353,0.037055155928436154
2016-07-01,-0.014225009902694718,0.034347549064915134,0.01212823749315426,-0.011206708598009001,0.031099397795147726,0.02071891405188827,-0.005098112770341031,0.05044948905933551,0.05356827383237729,-0.003880104517467969,0.05253658587866257,0.02346468182842974
2016-07-04,0.01937436659733948,-0.035877082967990755,0.06363383837303323,0.0197208176150614,-0.037237612818736346,0.05182538320714063,0.01890379965794729,0.02900434524485821,0.04904586398572668,0.01836173968091945,0.03223508626470988,0.03971660626406995
2016-07-05,0.013328187024127969,-0.046366186450121624,0.05758492926309181,0.013668268269017219,-0.007478795867955283,0.0633446195100034,0.01812591873083953,-0.0035584408959776397,0.0636636616104886,0.01505316317404395,0.015261252854736812,0.03981712900558128
2016-07-06,0.017039351674760648,-0.054138390804274475,0.04109286326433922,0.02081934131653506,-0.034334992753802474,0.06012040872570442,0.036299537494377684,-0.022178006410775088,0.0710687409377492,0.040491343933694676,-0.01529851115366633,0.0514851709693947
2016-07-07,0.0026476941000710685,-0.061993213206128016,-0.009979839166821682,-0.005410474701087231,-0.021738434564304302,0.004914249632409878,0.031688323922203276,-0.055356706134517084,-0.0076234206524984725,0.03301450232886791,-0.05592214788503177,-0.017127025357852994
2016-07-08,0.006271579058754489,-0.03508874527846745,0.009722871673547528,-0.00737943308026609,-0.0181900377588528,0.041774458737212514,-0.020305473640177936,-0.02667208210794267,0.0004238547215619004,-0.020428232386270936,-0.0349759277049872,-0.004349109972289479
