coin,short_period,long_period,coin_net,strategy_net,is_win
REEF,3,7,3.1178321678321677,1.412347402772376,False
REEF,3,8,3.8531674012617754,1.7968497948921884,False
REEF,3,9,3.7672158850866073,1.644944476685092,False
REEF,3,10,3.9109649122807015,1.515095138025716,False
REEF,3,11,3.9965041233417,1.3276910814480325,False
REEF,3,12,3.527015267779448,1.5487889360698515,False
REEF,3,13,3.0005383942391815,1.708422320421952,False
REEF,3,14,2.8039117036664365,1.9274567285330646,False
REEF,3,15,3.0237368599525265,1.768154970407414,False
REEF,3,16,3.272053427271393,2.58900909303144,False
REEF,3,17,2.999730875327996,3.0745041456288997,True
REEF,3,18,3.184642857142857,3.2163186824769623,True
REEF,3,19,3.232671113689095,2.5712941918726706,False
REEF,3,20,3.559112317394428,2.3833801684645444,False
REEF,3,21,3.5912202980265806,2.9045563847406193,False
REEF,3,22,3.6473331151832458,3.5036048244047944,False
REEF,3,23,3.452722063037249,4.158741243814324,True
REEF,3,24,3.5292487928441383,4.037557740629377,True
REEF,3,25,3.6572061356738574,4.163352557291026,True
REEF,3,26,3.564518708026863,4.457716766740863,True
REEF,3,27,3.980092840564185,5.080768145569042,True
REEF,3,28,3.9396483166917027,5.07161822337403,True
REEF,3,29,3.906510120038553,4.7000516767979885,True
REEF,3,30,4.017028561131633,4.999022232264121,True
REEF,3,31,4.561591978719051,4.531196166764691,False
REEF,3,32,4.431468044925952,4.137839463590146,False
REEF,3,33,4.462962962962963,3.867465295569469,False
REEF,3,34,4.5167662850775,4.223986406890089,False
REEF,3,35,4.0810068649885585,3.7341367978999846,False
REEF,3,36,4.469674185463659,3.376440346548649,False
REEF,3,37,4.567667247208277,3.265004320584923,False
REEF,3,38,4.752691610702484,3.355208387219983,False
REEF,3,39,4.2665071770334935,2.8744736254263503,False
REEF,3,40,4.405197114909594,3.8284223512660387,False
REEF,3,41,4.716492118904052,3.4897536665022177,False
REEF,3,42,4.780720566159125,3.410707622404906,False
REEF,3,43,4.071689497716895,3.254557446712057,False
REEF,3,44,4.152463444165036,3.0936351356967338,False
REEF,3,45,4.198210922787195,2.970025766323513,False
REEF,3,46,4.060194882069029,3.636675031916787,False
REEF,3,47,4.078766809989937,3.6909833671731103,False
REEF,3,48,4.155172413793103,3.89137302069298,False
REEF,3,49,4.25348215989315,3.597042427327303,False
REEF,3,50,4.2587639698156465,3.4738663677911674,False
REEF,3,51,4.2903194765204,3.6773770112468633,False
REEF,3,52,4.314399071027676,3.6773770112468633,False
REEF,3,53,4.3257009799165616,3.3793216863504827,False
REEF,3,54,4.491286390651758,3.5169068446172163,False
REEF,3,55,4.454490958137676,3.132006620048105,False
REEF,3,56,4.398677979479085,3.239921574028231,False
REEF,3,57,4.415668020204021,3.2387657265090035,False
REEF,3,58,4.459391878375675,3.4518627704442384,False
REEF,3,59,4.651538862806468,3.0383857959678533,False
REEF,3,60,4.6862518393945765,3.2159157878188855,False
REEF,3,61,4.673970017821574,3.238793526925952,False
