,stock_id,price,stock_pct,asset_pct_annual_return,asset_wave,macd_nums_-0.002,macd_odds_-0.002,macd_strategy_pct_-0.002,macd_nums_-0.004,macd_odds_-0.004,macd_strategy_pct_-0.004,macd_nums_-0.007,macd_odds_-0.007,macd_strategy_pct_-0.007,macd_nums_-0.01,macd_odds_-0.01,macd_strategy_pct_-0.01,macd_nums_-0.015,macd_odds_-0.015,macd_strategy_pct_-0.015,macd_nums_-0.02,macd_odds_-0.02,macd_strategy_pct_-0.02,macd_nums_-0.05,macd_odds_-0.05,macd_strategy_pct_-0.05,macd_nums_-0.1,macd_odds_-0.1,macd_strategy_pct_-0.1,macd_nums_-0.15,macd_odds_-0.15,macd_strategy_pct_-0.15,macd_nums_-0.2,macd_odds_-0.2,macd_strategy_pct_-0.2,best_odds_params
66,sh.600036,238.58009352,5.999445369623593,0.2510189488342644,6.983040377305544,53,0.0095523685233925,1.488709801442187,57,0.0113644120285221,1.6941680157431889,66,0.0127915654214965,1.9859069666137776,71,0.0114295561435129,1.9146176014947656,79,0.0073220708629103,1.4946886969828372,82,0.0068554415924856,1.462201464341831,89,0.0102156793164161,2.015216141966967,89,0.0102156793164161,2.015216141966967,89,0.0102156793164161,2.015216141966967,89,0.0102156793164161,2.015216141966967,-0.007
67,sz.000538,1474.6400401,3.018176743311784,0.1480692463646589,52.50726524005808,43,-0.0072103105332121,0.6906720960379189,46,0.0037630714205362,1.079503207215767,50,0.0069083194588317,1.2670459006668493,56,0.0041609215380815,1.1197541295866404,65,0.0014675787113152,0.964988734122078,73,0.0048071582690922,1.183005341509598,84,0.0040025560340677,1.132907607906174,87,0.00226072797451,0.9813950765926692,87,0.00226072797451,0.9813950765926692,87,0.00226072797451,0.9813950765926692,-0.007
68,sh.601995,62.9,0.968437259430331,-0.0641158615023731,3.2009179164810475,1,-0.0311965811965811,0.9688034188034188,1,-0.0311965811965811,0.9688034188034188,1,-0.0311965811965811,0.9688034188034188,1,-0.0311965811965811,0.9688034188034188,1,-0.0311965811965811,0.9688034188034188,1,-0.0311965811965811,0.9688034188034188,2,0.0988120084050317,1.1904855964448988,3,0.0294101459125102,1.0602541162154926,3,0.0294101459125102,1.0602541162154926,3,0.0294101459125102,1.0602541162154926,-0.05
69,sh.603583,127.3895777,2.6309289074762496,0.4688417391049591,6.19132661554778,13,-0.0010015733626025,0.9508381611938408,13,-0.0010015733626025,0.9508381611938408,13,-0.0010015733626025,0.9508381611938408,16,0.001314281131088,0.97945831964812,17,0.0001922084165954,0.9620622044935022,18,0.0220033818024909,1.339953820850539,26,0.0267729106837038,1.4853710963095703,28,0.0337825374707262,1.850584881020052,28,0.0337825374707262,1.850584881020052,28,0.0337825374707262,1.850584881020052,-0.1
70,sz.000001,2277.9570231,2.6318414804488004,0.128580302071821,74.63894126725206,39,0.0038598365732994,1.0590958537102784,41,0.0058422720772061,1.155377995067204,47,0.0077079323388909,1.3012509985590588,50,0.0169860630750743,1.9769832712969304,55,0.0143690828383209,1.852483979463678,56,0.0135225166695086,1.791280460365529,74,0.0086891937136803,1.4863610536509315,76,0.0100197296661356,1.6515750933548787,76,0.0100197296661356,1.6515750933548787,76,0.0100197296661356,1.6515750933548787,-0.01
71,sz.002475,1341.07668968,19.094338524548128,0.4458161688538566,54.759799024644494,45,0.0006444667618742,0.8888429599751901,46,-0.0005946426053983,0.8387526023833974,49,0.0052689441480413,1.0794702979301576,52,0.0054814413468687,1.1047368122609225,59,-0.0004780986297425,0.7951621305444997,69,0.0076327986307135,1.3451360539923884,78,0.0171197789840611,2.684466547790405,79,0.0188908065741051,3.106010903112957,80,0.0181522484588615,2.9811683896183943,80,0.0181522484588615,2.9811683896183943,-0.1
72,sh.603501,274.4496477,9.338198288533516,1.008300425441348,14.592330352076116,19,0.0125685333918069,1.12393780477043,19,0.0125685333918069,1.12393780477043,21,0.0122147197684693,1.1375633315915956,21,0.0122147197684693,1.1375633315915956,21,0.0122147197684693,1.1375633315915956,21,0.0122147197684693,1.1375633315915956,26,0.0308325020772685,1.659545714606901,30,0.0626688567213512,4.209602767718974,30,0.0626688567213512,4.209602767718974,30,0.0626688567213512,4.209602767718974,-0.1
73,sz.000338,339.1531864,3.768046591565135,0.1803601339925773,10.190764624033688,38,0.0270442264758759,2.4266043097443872,42,0.0295920284164954,2.987617177126725,46,0.0308502382274928,3.5097046459833927,49,0.0272823348022399,3.227665613451028,55,0.0257593479725876,3.432164523576082,62,0.0342586542979854,6.283962098627277,69,0.0293385872682818,5.656944563295594,74,0.0259276757090159,4.862702577527893,74,0.0259276757090159,4.862702577527893,74,0.0259276757090159,4.862702577527893,-0.02
74,sz.002032,417.88988424,9.145931743810854,0.3187227378149391,11.108951613827449,50,-0.0035084198764787,0.7574476692161409,52,-0.0025794566462696,0.7859294981553459,60,-0.0004705384637885,0.8623337064150198,65,-0.0025847563216416,0.7462473643371055,70,0.001634049849078,0.9655107613568789,79,0.0032420397723026,1.0887369125390003,87,0.0040970348954693,1.1636207026552092,87,0.0040970348954693,1.1636207026552092,87,0.0040970348954693,1.1636207026552092,87,0.0040970348954693,1.1636207026552092,-0.05
75,sz.002127,92.77449435,3.931296893352343,0.1866345262627866,4.08781851596742,29,-0.0033823158928615,0.8681227568059444,30,0.0211851130700802,1.5050128161769416,36,0.014547990422535,1.3372831404484806,40,0.0172325242961885,1.5553506624690356,47,0.0158940943471608,1.5869762191815926,56,0.0269715914778037,2.593636817169409,74,0.0329089423132458,5.119273062334171,78,0.0317390012843748,5.192309450933016,78,0.0317390012843748,5.192309450933016,79,0.0317095425935078,5.345024434783988,-0.05
76,sz.300760,464.02773573,4.124690984266667,0.7739637791261667,17.840242939756873,22,0.0041571940895797,1.0593145669035384,23,0.0046752906467915,1.0763413694527673,23,0.0046752906467915,1.0763413694527673,25,0.0172957957384139,1.429706298676923,26,0.0249811222759474,1.7401159604953784,26,0.0249811222759474,1.7401159604953784,26,0.0249811222759474,1.7401159604953784,27,0.0310459216062687,2.068529271099971,27,0.0310459216062687,2.068529271099971,27,0.0310459216062687,2.068529271099971,-0.1
