stock_id,price,stock_pct,asset_pct_annual_return,asset_wave,macd_nums_-0.002,macd_odds_-0.002,macd_strategy_pct_-0.002,macd_nums_-0.004,macd_odds_-0.004,macd_strategy_pct_-0.004,macd_nums_-0.007,macd_odds_-0.007,macd_strategy_pct_-0.007,macd_nums_-0.01,macd_odds_-0.01,macd_strategy_pct_-0.01,macd_nums_-0.015,macd_odds_-0.015,macd_strategy_pct_-0.015,macd_nums_-0.02,macd_odds_-0.02,macd_strategy_pct_-0.02,macd_nums_-0.05,macd_odds_-0.05,macd_strategy_pct_-0.05,macd_nums_-0.1,macd_odds_-0.1,macd_strategy_pct_-0.1,macd_nums_-0.15,macd_odds_-0.15,macd_strategy_pct_-0.15,macd_nums_-0.2,macd_odds_-0.2,macd_strategy_pct_-0.2
sz.300223,263.00733059,9.536161370195794,0.3256280923048631,17.527198007490878,28,0.05067155755254486,2.533158078050405,28,0.05067155755254486,2.533158078050405,31,0.06048670501851997,3.848287962121007,35,0.047284107913940235,3.0654086557230937,40,0.06236399875677776,6.123604346793126,42,0.056701045818337695,5.450514519329849,55,0.050747682950626184,7.2121620723658735,65,0.0432886284480555,6.866559304365124,69,0.05051419156568425,9.658375656468076,70,0.04717749168839534,7.890363633849942
sh.603288,801.175578,12.067714685946678,0.42413996402638143,23.051977663713565,50,0.011694276742719327,1.6457075609372955,53,0.015837534422336357,2.088124403815382,56,0.014481219824379998,2.026315869158325,62,0.013442598826696961,2.0477297978682323,66,0.016965095791896298,2.637702503576131,68,0.016767421947738316,2.692021446429806,78,0.01392308546286937,2.5124060490133036,80,0.013293297384334598,2.440218980466327,80,0.013293297384334598,2.440218980466327,80,0.013293297384334598,2.440218980466327
sh.600031,966.61317977,2.9851337574756114,0.1464905369983991,37.14126229868638,36,0.033208409047041115,2.607844408351048,41,0.034107250955719044,3.1549391625094056,43,0.033399428638145004,3.2540207135433943,46,0.03404460007627715,3.677951817728532,47,0.031872859417540325,3.427751013801421,57,0.028282524881679955,3.7147208894926225,69,0.02236587785277455,3.2653009556905537,73,0.023201005884270938,3.6999184699526753,74,0.022211803102051057,3.5149225464550398,74,0.022211803102051057,3.5149225464550398
sz.002508,293.68945179,6.80375400080664,0.2708478991798664,10.555020125153723,48,-0.007576267603613396,0.6440389257491251,52,-0.007050003508503189,0.6344831934922565,56,-0.005721471304702872,0.656300301673793,60,0.001009588429562149,0.9367751424428804,61,0.0042810000638793385,1.124660102871126,68,0.0019168636037249465,0.9768637358746423,79,0.009896756411798682,1.7398458134556056,83,0.006242803309016049,1.324065076658579,83,0.006242803309016049,1.324065076658579,83,0.006242803309016049,1.324065076658579
sz.300033,961.0282384,29.609923961290576,0.5273186731413673,34.35518337351145,29,0.05696378489701703,3.1481790853927754,31,0.057792756153752914,3.562497485165005,36,0.06277728377257558,5.439133058806677,46,0.06742860771628396,8.587108775745088,46,0.06742860771628396,8.587108775745088,50,0.06064366744574938,7.9209779795318,68,0.04575556865454871,7.9589215036542775,75,0.03905542338877087,5.587646567392579,75,0.03905542338877087,5.587646567392579,75,0.03905542338877087,5.587646567392579
sz.002677,74.49029858,9.52561362915601,0.3254447224957919,2.5050313099978405,42,0.026742314163820707,2.251561190706595,46,0.027207025433291777,2.448648146198542,53,0.022890724383282043,2.268178884877558,56,0.022653162018981574,2.3852405303127817,61,0.023722026083418623,2.811339534481229,63,0.023297505028058135,2.8617122040382337,77,0.017924611443858714,2.495311906740612,80,0.015221176735715755,2.0974072560846913,80,0.015221176735715755,2.0974072560846913,80,0.015221176735715755,2.0974072560846913
sz.002048,113.1094548,2.9539307469652902,0.14498563663301,3.452149529689617,38,-0.005844590538002789,0.7255120143615292,39,-0.0045414073255452304,0.7581452217317205,42,-0.0005899002411438936,0.861604746587682,47,0.0022499694189741398,0.9700390074978412,51,0.00436348490778044,1.0667782995025332,59,0.012233877946384222,1.5531021731759396,74,0.014057801406067704,1.8939520405383796,78,0.008130130889570692,1.2224816519155055,80,0.007595821747263853,1.1504691012063792,80,0.007595821747263853,1.1504691012063792
sh.601155,65.17812876,4.813746584933531,0.35158753015640243,1.9355346125708475,22,0.02005444151135599,1.3549599114760877,24,0.03310874546169228,1.8716951706186258,26,0.028291494057029246,1.7628206206851402,28,0.023156163114973177,1.6117299276568988,29,0.024504070992555596,1.712052849273704,34,0.037972599684274785,2.623144682546568,41,0.03332653078847789,2.7063163378630577,43,0.0319790953085616,2.7265105168722195,44,0.03951931968325816,3.718275903067276,45,0.0346678106553538,3.05345342711249
sz.300413,117.58076074,3.189928397721107,0.2571997576935776,5.340531863361143,22,0.04594536177872699,2.0832130255891084,22,0.04594536177872699,2.0832130255891084,22,0.04594536177872699,2.0832130255891084,24,0.04930064100071516,2.4274804183916805,29,0.03317623290748604,1.9315247339704495,33,0.03993271395555979,2.6546779584266216,40,0.03526176569593177,2.836260721878996,42,0.03840358595210808,3.430956513468752,44,0.052820017847850814,5.199006293254575,44,0.052820017847850814,5.199006293254575
sz.300450,1203.24191351,10.387998907968575,0.5674244459125795,63.582803297217644,17,0.03164544939963804,1.5631809107328978,17,0.03164544939963804,1.5631809107328978,18,0.026338794124672677,1.4633337530839898,19,0.021480103309640074,1.3667883604988622,23,0.03805691057539307,2.044598472189564,26,0.05034130702916657,2.8905750875255207,34,0.0517924994709435,4.205404936724641,41,0.06108038741933023,7.640604656791511,41,0.06108038741933023,7.640604656791511,41,0.06108038741933023,7.640604656791511
