stock_name,success_rate,odds
sh.600867,0.2764227642276423,0.010737444826306427
sz.002145,0.3008849557522124,0.017748942041268582
sz.300223,0.288135593220339,0.024440370333868273
sz.002281,0.2857142857142857,0.008674668618299143
sh.603906,0.2857142857142857,0.012859799021581741
sz.000933,0.23846153846153847,0.012673567854016918
sh.600206,0.2868217054263566,0.0067545947037344215
sh.603816,0.3235294117647059,0.015135973603129346
sh.603288,0.26229508196721313,0.01096132061580131
sz.002759,0.3333333333333333,0.04963525195353714
sh.600038,0.308411214953271,0.01449112058668611
sh.600050,0.272,0.008993689445248832
sh.600233,0.2920353982300885,0.0175781931997232
sz.002643,0.3178294573643411,0.00720695400402389
sh.603019,0.25,0.02815132570476282
sz.300369,0.24528301886792453,0.017092115588800697
sz.000039,0.312,0.010121867904081615
sz.000629,0.2605042016806723,0.0062582337541759675
sh.600522,0.3412698412698413,0.008531414012116604
sz.000563,0.22950819672131148,0.00809413433112762
sz.002128,0.2553191489361702,-0.0008803952995715622
sh.600155,0.2894736842105263,0.018640694280086297
sz.300296,0.3063063063063063,0.02627762347996901
sh.601169,0.25,0.004544137292091281
sh.600219,0.2711864406779661,0.008137927692200156
sh.600872,0.36363636363636365,0.011158024748273751
sh.600031,0.3208955223880597,0.010602677111219731
sz.002508,0.32142857142857145,0.012390595916368987
sz.000009,0.275,0.015857820944848507
sz.002916,0.28,0.01155626337518461
sh.600435,0.23076923076923078,0.009756504123426357
sh.601216,0.2777777777777778,0.033466730858591906
sh.600809,0.3,0.01957783638310929
sh.601799,0.2890625,0.017618051424815463
sz.000540,0.27350427350427353,0.021345266451041504
sz.002001,0.325,0.007496821629792454
sz.002340,0.2421875,0.01190411489505425
sh.600029,0.2926829268292683,0.009166155993631728
sh.601311,0.26811594202898553,0.005097438190903386
sh.600507,0.34959349593495936,0.021227218489152364
sz.002498,0.3082706766917293,0.013763417061696264
sz.000768,0.3474576271186441,0.010183605717408466
sh.600006,0.291044776119403,0.012160302138241184
sh.600157,0.2727272727272727,0.014628094202638818
sz.300773,0.18421052631578946,-0.0030608165383488027
sz.300070,0.3238095238095238,0.007264649801892577
sz.002233,0.24812030075187969,0.008975538825700975
sz.300033,0.25,0.037463972717493445
sh.601952,0.25,0.000393394072240442
sz.000762,0.25210084033613445,0.015771290073563086
sh.600893,0.30578512396694213,0.02644457909249359
sz.000158,0.3253968253968254,0.028020874841056333
sh.600329,0.2702702702702703,0.004421195196491265
sh.600536,0.27927927927927926,0.04548335972265992
sh.603666,0.20454545454545456,0.01944641410291363
sh.600399,0.29411764705882354,0.029561786868172672
sz.002430,0.358974358974359,0.01473357977465585
sh.600737,0.28346456692913385,0.005583022848147534
sz.002195,0.24193548387096775,0.04214522416536207
sh.600323,0.325,0.012529772903933693
sz.300751,0.38461538461538464,0.08362064742336302
sh.601666,0.28225806451612906,0.002078641800824398
sh.600803,0.2777777777777778,0.0030837381908460494
sh.601319,0.2571428571428571,0.021785656886572625
sz.300454,0.20833333333333334,0.011200733782446478
sh.600110,0.25203252032520324,0.0155143269634061
sz.300383,0.26,0.015529787943576324
sh.600885,0.30597014925373134,0.008093199433059688
sz.002466,0.2777777777777778,0.03396300484331621
sz.300079,0.3,0.01219675957215619
sh.600685,0.26956521739130435,0.022865456883642242
sh.600057,0.3565217391304348,0.014141416270628662
sh.600884,0.2727272727272727,0.01350422853100975
sh.600295,0.3114754098360656,0.008429542117991675
sh.600801,0.3140495867768595,0.013623988686155263
sh.600022,0.24615384615384617,0.007557044060143942
sz.002595,0.275,0.008858265125075574
sz.002646,0.22900763358778625,0.00437932044045462
sz.002459,0.3025210084033613,0.017621226372317837
sz.300618,0.30357142857142855,0.022166303206149613
sz.002461,0.3228346456692913,0.011782554278901649
sh.600021,0.2733812949640288,0.011457480531878818
sz.000062,0.25,0.03297459205453469
sh.600989,0.34615384615384615,0.03239876881738558
