,1day_pct,3day_pct,5day_pct,10day_pct,20day_pct,30day_pct
BNB/20_ma,0.0018316320740238,0.0012386261455217,0.001618286614868,0.0135797086927995,0.054418200190865,0.1339505087176438
BNB/30_ma,0.000813208752506,0.0016630747924953,0.0036368202650856,0.0066251321501391,0.0282392877196415,0.0586918238194966
BNB/60_ma,0.0008898379239671,0.0002069079491091,0.0015225347966237,0.0074174272587377,0.0167470011383522,0.0357650236522381
BTC/3_ma,0.0025341826938511,0.0068690091042401,0.010560078271025,0.0255492694461658,0.0554187836470192,0.0881948699820523
BTC/5_ma,0.0013136967958085,0.0042347461468996,0.0067947617559105,0.0214978984656223,0.0480058243747268,0.0739235588900743
BTC/10_ma,0.001411481411957,0.0041352053581062,0.0051001348672339,0.0124703205633802,0.0378666807316798,0.0667908695218183
BTC/20_ma,0.0005961733292271,0.0009129982573113,0.0001661683529204,0.0071790471454755,0.032925796033962,0.0462345896856793
BTC/30_ma,0.0004137215702608,0.0008960340256947,0.0017703148487466,0.0068253351425975,0.0307545657443878,0.0433146074854181
BTC/60_ma,-0.0006038565844814,-0.0013380536926155,-0.0018122540195504,-4.298666041271002e-06,0.0134281207092953,0.0320089949307395
DOT/3_ma,0.0193018469114317,0.0598449154414525,0.124679771651975,0.2604119627339849,0.4544207845280248,0.8120570122380173
DOT/5_ma,0.0124631874334603,0.0607666049951797,0.1215473503800443,0.2527660279870152,0.4526211416694093,0.7921699740208743
DOT/10_ma,0.0135983250533967,0.0716579404620104,0.1418848232584315,0.2423615726348294,0.4787734129357557,0.8218812610878039
DOT/20_ma,0.0154865413879715,0.0386012332101176,0.0648619107240559,0.1410815510772596,0.3658357523231769,0.6823417370989652
DOT/30_ma,0.0207963967753603,0.0470043879736118,0.0886040714647914,0.1638610336315339,0.4458103227164886,0.7233807059274866
DOT/60_ma,0.0179273598130362,0.0355799658052522,0.0605229035139617,0.0930609371281311,0.2320783013391547,0.3736414465627295
EOS/3_ma,0.0008352193346259,0.0010493004246997,0.0019807361649185,0.0063131763497774,0.0194367792438892,0.0302792507022816
EOS/5_ma,0.0001327120462958,0.0001086231651116,-0.0005590503426427,0.0043465264518233,0.0154297282177126,0.0238481607438479
EOS/10_ma,-0.0006741230973505,-0.0018045799745265,-0.000341137340283,0.0056145318554899,0.0167455168031304,0.0332056784134802
EOS/20_ma,-0.0003416391466514,-0.0019599746315482,-0.0009718477747352,0.004924392464769,0.0330512480245449,0.0512112596121702
EOS/30_ma,0.0007637349045063,0.0016586920621032,0.003915601552934,0.0095998036241053,0.0392973958312034,0.0583417113331667
EOS/60_ma,-7.791469838209907e-05,-0.0016226493721685,-0.0019490040398602,0.0030550726200974,0.0266769644926464,0.0509779511751828
ETH/3_ma,0.0027522926251753,0.0074667344683011,0.0094117377856666,0.0241470816355339,0.0673000908431945,0.1179734218954904
ETH/5_ma,0.0020253376374138,0.0044178818835719,0.0093086568284409,0.0250358168422388,0.0727906877454303,0.1176730730864236
