币名,周期,周期线类型,币自身回报,策略回报,策略是否跑赢大盘
LTC,240,SMA,4.063551816,3.175849188,FALSE
ETH,360,SMA,5.698877158,3.168716316,FALSE
FIL,120,SMA,3.135052753,3.128960353,FALSE
FIL,120,EMA,3.135052753,3.128960353,FALSE
FIL,5,EMA,3.720466218,3.016174102,FALSE
DOT,3,SMA,11.18986207,2.940575853,FALSE
ETH,10,SMA,3.943637797,2.803993182,FALSE
FIL,10,SMA,4.897964166,2.659975778,FALSE
ETH,360,EMA,5.698877158,2.625313599,FALSE
XRP,20,EMA,1.228894982,2.593205669,TRUE
DOT,10,EMA,5.738695245,2.567300161,FALSE
XRP,10,EMA,1.262209502,2.557172993,TRUE
XRP,5,EMA,1.136779808,2.503434091,TRUE
BTC,3,SMA,8.578242357,2.487452116,FALSE
FIL,5,SMA,3.720466218,2.474466458,FALSE
XRP,10,SMA,1.262209502,2.446059258,TRUE
LTC,10,SMA,2.389764292,2.23368611,FALSE
ETH,5,SMA,3.501575468,2.226978738,FALSE
ETH,3,EMA,3.634043645,1.918348773,FALSE
LTC,10,EMA,2.389764292,1.82722813,FALSE
XRP,30,SMA,1.234868509,1.778955033,TRUE
ETH,3,SMA,3.634043645,1.729059599,FALSE
XRP,3,SMA,1.155944642,1.697794483,TRUE
ETH,5,EMA,3.501575468,1.584819211,FALSE
XRP,3,EMA,1.155944642,1.431636706,TRUE
XRP,50,SMA,1.6535289,1.387022935,FALSE
LTC,360,EMA,1.581846393,1.355420865,FALSE
LTC,360,SMA,1.581846393,1.354192773,FALSE
XRP,360,SMA,1.342955979,1.265425073,FALSE
EOS,90,SMA,0.719632534,1.255156456,TRUE
XRP,30,EMA,1.234868509,1.243737947,TRUE
EOS,120,EMA,0.800839634,1.172241994,TRUE
EOS,60,SMA,0.643561109,1.156209131,TRUE
EOS,60,EMA,0.643561109,1.108034197,TRUE
EOS,90,EMA,0.719632534,1.048739361,TRUE
LTC,5,SMA,2.164288242,1.032409358,FALSE
EOS,120,SMA,0.800839634,1.011957943,TRUE
EOS,20,SMA,0.52497197,0.995361325,TRUE
EOS,50,EMA,0.83921952,0.919436888,TRUE
XRP,60,SMA,1.644109752,0.900864739,FALSE
LTC,5,EMA,2.164288242,0.897204785,FALSE
XRP,240,EMA,1.77445521,0.846679368,FALSE
EOS,10,SMA,0.5953733,0.823326576,TRUE
LTC,3,EMA,2.202208088,0.804381965,FALSE
EOS,5,EMA,0.466446296,0.777530281,TRUE
XRP,50,EMA,1.6535289,0.765404135,FALSE
EOS,10,EMA,0.5953733,0.757318833,TRUE
EOS,5,SMA,0.466446296,0.75461966,TRUE
XRP,60,EMA,1.644109752,0.722309045,FALSE
EOS,3,EMA,0.466488543,0.682449353,TRUE
XRP,120,SMA,1.231915797,0.625048926,FALSE
EOS,30,EMA,0.570882288,0.613009892,TRUE
EOS,30,SMA,0.570882288,0.610617,TRUE
EOS,3,SMA,0.466488543,0.592048351,TRUE
EOS,20,EMA,0.52497197,0.587363009,TRUE
XRP,120,EMA,1.231915797,0.567315461,FALSE
