,coin_list,time_period,coin_yield,strategy_yield,drawdown,is_win
0,"BTC,ETH,BNB,DOT,UNI",3,40.59526981524326,13.209258090747708,-0.7589531749272738,False
1,"BTC,ETH,BNB,DOT,UNI",4,40.59526981524326,174.17584083875553,-0.5834102357627228,True
2,"BTC,ETH,BNB,DOT,UNI",5,40.59526981524326,2081.875149951058,-0.45322454841375626,True
3,"BTC,ETH,BNB,DOT,UNI",6,40.59526981524326,41.363044990578324,-0.6465387742332491,True
4,"BTC,ETH,BNB,DOT,UNI",7,40.59526981524326,35.834357517679706,-0.6450295822653865,False
5,"BTC,ETH,BNB,DOT,UNI",8,40.59526981524326,69.37442178209679,-0.6142517173076971,True
6,"BTC,ETH,BNB,DOT,UNI",9,40.59526981524326,35.835016657444896,-0.6409298372681977,False
7,"BTC,ETH",3,8.44789486224439,4.33112143905183,-0.6615806433370296,False
8,"BTC,ETH",4,8.44789486224439,9.29736771490295,-0.5784448481380982,True
9,"BTC,ETH",5,8.44789486224439,27.7593971890192,-0.40691115830522107,True
10,"BTC,ETH",6,8.44789486224439,1.1892862227953118,-0.6317803650691574,False
11,"BTC,ETH",7,8.44789486224439,2.6445095884273435,-0.5885643672128282,False
12,"BTC,ETH",8,8.44789486224439,5.2965555716135135,-0.5140481494234899,False
13,"BTC,ETH",9,8.44789486224439,6.447084414225637,-0.5635802640903256,False
