coin,time_period,coin_yield,strategy_yield,drawdown,is_win
"LTC,CAKE,ETH",10,"3.109,1.273,4.725",0.92,61.088,False
"LTC,CAKE,EOS",10,"3.109,1.273,0.807",0.92,61.088,False
"LTC,CAKE,KSM",10,"3.109,1.273,10.041",0.92,61.088,False
"LTC,CAKE,ADA",10,"3.109,1.273,7.418",0.92,61.088,False
"LTC,FIL,UNI",10,"3.109,2.601,10.2",0.961,94.742,False
"LTC,FIL,XRP",10,"3.109,2.601,3.466",3.382,76.743,False
"LTC,FIL,ETH",10,"3.109,2.601,4.725",4.844,81.639,False
"LTC,FIL,EOS",10,"3.109,2.601,0.807",1.308,79.385,False
"LTC,FIL,KSM",10,"3.109,2.601,10.041",18.719,53.004,False
"LTC,FIL,ADA",10,"3.109,2.601,7.418",14.77,77.089,False
"LTC,UNI,XRP",10,"3.109,10.2,3.466",3.382,76.743,False
"LTC,UNI,ETH",10,"3.109,10.2,4.725",0.961,94.742,False
"LTC,UNI,EOS",10,"3.109,10.2,0.807",0.961,94.742,False
"LTC,UNI,KSM",10,"3.109,10.2,10.041",0.961,94.742,False
"LTC,UNI,ADA",10,"3.109,10.2,7.418",0.961,94.742,False
"LTC,XRP,ETH",10,"3.109,3.466,4.725",3.382,76.743,False
"LTC,XRP,EOS",10,"3.109,3.466,0.807",3.382,76.743,False
"LTC,XRP,KSM",10,"3.109,3.466,10.041",3.382,76.743,False
"LTC,XRP,ADA",10,"3.109,3.466,7.418",3.382,76.743,False
"LTC,ETH,EOS",10,"3.109,4.725,0.807",0.998,0.0,False
"LTC,ETH,KSM",10,"3.109,4.725,10.041",4.844,81.639,False
"LTC,ETH,ADA",10,"3.109,4.725,7.418",0.998,0.0,False
"LTC,EOS,KSM",10,"3.109,0.807,10.041",1.329,79.385,False
"LTC,EOS,ADA",10,"3.109,0.807,7.418",0.998,0.0,False
"LTC,KSM,ADA",10,"3.109,10.041,7.418",15.548,76.273,False
"DOT,BNB,BTC",10,"13.233,42.908,8.396",43.233,76.067,False
"DOT,BNB,CAKE",10,"13.233,42.908,1.273",43.233,76.067,False
"DOT,BNB,FIL",10,"13.233,42.908,2.601",43.233,76.067,False
"DOT,BNB,UNI",10,"13.233,42.908,10.2",43.233,76.067,False
"DOT,BNB,XRP",10,"13.233,42.908,3.466",3.382,76.743,False
"DOT,BNB,ETH",10,"13.233,42.908,4.725",43.233,76.067,False
"DOT,BNB,EOS",10,"13.233,42.908,0.807",43.233,76.067,False
"DOT,BNB,KSM",10,"13.233,42.908,10.041",43.233,76.067,False
"DOT,BNB,ADA",10,"13.233,42.908,7.418",43.233,76.067,False
"DOT,BTC,CAKE",10,"13.233,8.396,1.273",0.92,61.088,False
"DOT,BTC,FIL",10,"13.233,8.396,2.601",8.491,63.341,False
"DOT,BTC,UNI",10,"13.233,8.396,10.2",0.963,94.54,False
"DOT,BTC,XRP",10,"13.233,8.396,3.466",3.382,76.743,False
"DOT,BTC,ETH",10,"13.233,8.396,4.725",4.618,82.524,False
"DOT,BTC,EOS",10,"13.233,8.396,0.807",0.789,79.887,False
"DOT,BTC,KSM",10,"13.233,8.396,10.041",8.491,63.341,False
"DOT,BTC,ADA",10,"13.233,8.396,7.418",7.472,87.197,False
"DOT,CAKE,FIL",10,"13.233,1.273,2.601",0.92,61.088,False
"DOT,CAKE,UNI",10,"13.233,1.273,10.2",0.92,61.088,False
"DOT,CAKE,XRP",10,"13.233,1.273,3.466",3.382,76.743,False
"DOT,CAKE,ETH",10,"13.233,1.273,4.725",0.92,61.088,False
"DOT,CAKE,EOS",10,"13.233,1.273,0.807",0.92,61.088,False
"DOT,CAKE,KSM",10,"13.233,1.273,10.041",0.92,61.088,False
"DOT,CAKE,ADA",10,"13.233,1.273,7.418",0.92,61.088,False
"DOT,FIL,UNI",10,"13.233,2.601,10.2",0.963,94.54,False
"DOT,FIL,XRP",10,"13.233,2.601,3.466",3.382,76.743,False
"DOT,FIL,ETH",10,"13.233,2.601,4.725",4.618,82.524,False
"DOT,FIL,EOS",10,"13.233,2.601,0.807",0.789,79.887,False
"DOT,FIL,KSM",10,"13.233,2.601,10.041",6.019,62.929,False
"DOT,FIL,ADA",10,"13.233,2.601,7.418",7.472,87.197,False
"DOT,UNI,XRP",10,"13.233,10.2,3.466",3.382,76.743,False
"DOT,UNI,ETH",10,"13.233,10.2,4.725",0.963,94.54,False
"DOT,UNI,EOS",10,"13.233,10.2,0.807",0.789,79.887,False
"DOT,UNI,KSM",10,"13.233,10.2,10.041",0.963,94.54,False
"DOT,UNI,ADA",10,"13.233,10.2,7.418",0.963,94.54,False
"DOT,XRP,ETH",10,"13.233,3.466,4.725",3.382,76.743,False
"DOT,XRP,EOS",10,"13.233,3.466,0.807",3.382,76.743,False
"DOT,XRP,KSM",10,"13.233,3.466,10.041",3.382,76.743,False
"DOT,XRP,ADA",10,"13.233,3.466,7.418",3.382,76.743,False
"DOT,ETH,EOS",10,"13.233,4.725,0.807",0.789,79.887,False
"DOT,ETH,KSM",10,"13.233,4.725,10.041",4.618,82.524,False
"DOT,ETH,ADA",10,"13.233,4.725,7.418",7.472,87.197,False
"DOT,EOS,KSM",10,"13.233,0.807,10.041",0.789,79.887,False
"DOT,EOS,ADA",10,"13.233,0.807,7.418",0.789,79.887,False
"DOT,KSM,ADA",10,"13.233,10.041,7.418",7.472,87.197,False
"BNB,BTC,CAKE",10,"42.908,8.396,1.273",0.927,64.195,False
"BNB,BTC,FIL",10,"42.908,8.396,2.601",7.692,63.341,False
"BNB,BTC,UNI",10,"42.908,8.396,10.2",0.97,94.742,False
"BNB,BTC,XRP",10,"42.908,8.396,3.466",3.382,76.743,False
"BNB,BTC,ETH",10,"42.908,8.396,4.725",1.008,0.0,False
"BNB,BTC,EOS",10,"42.908,8.396,0.807",1.008,0.0,False
"BNB,BTC,KSM",10,"42.908,8.396,10.041",7.692,63.341,False
"BNB,BTC,ADA",10,"42.908,8.396,7.418",1.008,0.0,False
"BNB,CAKE,FIL",10,"42.908,1.273,2.601",0.927,64.195,False
"BNB,CAKE,UNI",10,"42.908,1.273,10.2",0.927,64.195,False
"BNB,CAKE,XRP",10,"42.908,1.273,3.466",3.382,76.743,False
"BNB,CAKE,ETH",10,"42.908,1.273,4.725",0.927,64.195,False
"BNB,CAKE,EOS",10,"42.908,1.273,0.807",0.927,64.195,False
"BNB,CAKE,KSM",10,"42.908,1.273,10.041",0.927,64.195,False
"BNB,CAKE,ADA",10,"42.908,1.273,7.418",0.927,64.195,False
"BNB,FIL,UNI",10,"42.908,2.601,10.2",0.97,94.742,False
"BNB,FIL,XRP",10,"42.908,2.601,3.466",3.382,76.743,False
"BNB,FIL,ETH",10,"42.908,2.601,4.725",9.264,68.231,False
"BNB,FIL,EOS",10,"42.908,2.601,0.807",1.318,79.385,False
"BNB,FIL,KSM",10,"42.908,2.601,10.041",35.499,48.608,False
"BNB,FIL,ADA",10,"42.908,2.601,7.418",14.196,77.171,False
"BNB,UNI,XRP",10,"42.908,10.2,3.466",3.382,76.743,False
"BNB,UNI,ETH",10,"42.908,10.2,4.725",0.97,94.742,False
"BNB,UNI,EOS",10,"42.908,10.2,0.807",0.97,94.742,False
"BNB,UNI,KSM",10,"42.908,10.2,10.041",0.97,94.742,False
"BNB,UNI,ADA",10,"42.908,10.2,7.418",0.97,94.742,False
"BNB,XRP,ETH",10,"42.908,3.466,4.725",3.382,76.743,False
"BNB,XRP,EOS",10,"42.908,3.466,0.807",3.382,76.743,False
"BNB,XRP,KSM",10,"42.908,3.466,10.041",3.382,76.743,False
"BNB,XRP,ADA",10,"42.908,3.466,7.418",3.382,76.743,False
"BNB,ETH,EOS",10,"42.908,4.725,0.807",1.008,0.0,False
"BNB,ETH,KSM",10,"42.908,4.725,10.041",9.457,68.231,False
"BNB,ETH,ADA",10,"42.908,4.725,7.418",1.008,0.0,False
"BNB,EOS,KSM",10,"42.908,0.807,10.041",1.318,79.385,False
"BNB,EOS,ADA",10,"42.908,0.807,7.418",1.008,0.0,False
