,1day_pct,3day_pct,5day_pct,10day_pct,20day_pct,30day_pct
BNB/5_ma,0.00827975087100438,0.020229313254297703,0.03451715721675296,0.07349150713864537,0.18135500947013586,0.2647776183295029
BNB/10_ma,0.006788879726244096,0.02067805572251464,0.03474802267948141,0.07587379599786327,0.1765342542958286,0.2607119291573853
BNB/20_ma,0.007012234319270204,0.024344546965294787,0.04188782501893805,0.08319454544209523,0.18621047386925976,0.2754662246228761
BNB/30_ma,0.007636118749458002,0.02380689260437169,0.040095916570670936,0.08707866891750783,0.20226276216582795,0.324221399883668
BNB/60_ma,0.0077610779298594185,0.02542700667017933,0.04256159615868832,0.0886314314524407,0.2150295013698792,0.3475422106511292
BTC/3_ma,0.003107781030983693,0.009622270234593024,0.017123784859059972,0.03336069409619418,0.07301017070970746,0.10981774517527487
BTC/5_ma,0.004092055891253554,0.011731639978018805,0.020112712503645463,0.03656924725088916,0.07884820340907503,0.12117874030362664
BTC/10_ma,0.003937413534925293,0.011590068785989895,0.021012749387880784,0.04298192656324856,0.08564752342104849,0.1252218275633203
BTC/20_ma,0.004332381895829114,0.013293781361988676,0.023367585140233103,0.04474801252187433,0.08620743988225689,0.1354768614456442
BTC/30_ma,0.0044823308463760635,0.013396041988026105,0.02246059073597045,0.04526128675042284,0.08805660843524282,0.13809279277103034
BTC/60_ma,0.005525589330631679,0.015909038414307027,0.02653067112188355,0.05295747526365612,0.1050733540299294,0.15277609827961053
DOT/3_ma,0.019275781360566582,0.05718801912876835,0.08633014320358433,0.1651332961506452,0.4318353324716525,0.6663643705840621
DOT/5_ma,0.023219600680271547,0.05681298022795413,0.09039175243377913,0.1751455800979183,0.4342013296522882,0.6863988185947651
DOT/10_ma,0.02216222038943584,0.05148381621740943,0.08150901212206722,0.18389481922606155,0.4218061278667028,0.6761300175126597
DOT/20_ma,0.02020103857384611,0.06299106389515602,0.11067323561729578,0.2185628643673894,0.4590168463133608,0.7353642883611555
DOT/30_ma,0.019021353566275715,0.06023315091813745,0.10409682189646992,0.21048850006189576,0.4400819518238228,0.7253738086756855
DOT/60_ma,0.019567864561827072,0.06295790766323517,0.1103341652673178,0.2264189921237818,0.4842139462292344,0.7978961715012169
EOS/3_ma,0.00097919717345854,0.0030435369275724515,0.005344167387996581,0.01176292587403842,0.020616621319306992,0.02615855460712079
EOS/5_ma,0.001667128029468021,0.003992049774285586,0.007874423238244173,0.013765400279134228,0.024545974586785084,0.03237362100327925
EOS/10_ma,0.0024959704940873337,0.005960667777208831,0.00776724194683603,0.012618812979995543,0.023347508396156298,0.023107961012519333
EOS/20_ma,0.002271892286874614,0.006468356239062647,0.008807715944129735,0.013675917456963588,0.005870938465182883,0.003051750691427563
EOS/30_ma,0.0010747770275406,0.002546360845365819,0.0034729335809115663,0.008558407686174442,-0.0018783215860447323,-0.0061967567590201405
EOS/60_ma,0.0021369787317754613,0.006671559860076398,0.010745772164459991,0.016647721080916736,0.01179114510761609,-0.0002166347936551847
