币名,短均线周期,长均线周期,币自身回报,策略回报,策略是否跑赢大盘
XRP,5,20,1.2124617854707809,2.8774966271890703,True
XRP,10,20,1.2124617854707809,2.086592701278006,True
XRP,3,30,1.266413967378819,1.0613175612669759,False
XRP,5,30,1.266413967378819,1.086481522361465,False
XRP,10,30,1.266413967378819,0.8379292042305925,False
XRP,20,30,1.266413967378819,1.6085414915562481,True
XRP,3,60,1.6470570660292798,0.7684560167202413,False
XRP,5,60,1.6470570660292798,0.8646456787286583,False
XRP,10,60,1.6470570660292798,0.8238659985328702,False
XRP,20,60,1.6470570660292798,0.42322737233038926,False
XRP,30,60,1.6470570660292798,0.4094833011271315,False
XRP,50,60,1.6470570660292798,0.323670093035036,False
XRP,3,90,0.969265934065934,0.5212186185955916,False
XRP,5,90,0.969265934065934,0.43864879346157976,False
XRP,10,90,0.969265934065934,0.32669410216918804,False
XRP,20,90,0.969265934065934,0.11792097890660619,False
XRP,30,90,0.969265934065934,0.18750064695787433,False
XRP,50,90,0.969265934065934,0.26576107580522484,False
XRP,60,90,0.969265934065934,0.18098120759507744,False
XRP,3,120,1.2373075369214885,0.8377306107574615,False
XRP,5,120,1.2373075369214885,0.8025955503597331,False
XRP,10,120,1.2373075369214885,0.4779243039319976,False
XRP,20,120,1.2373075369214885,0.18423742949587765,False
XRP,30,120,1.2373075369214885,0.08624903808763515,False
XRP,50,120,1.2373075369214885,0.1992688554334784,False
XRP,60,120,1.2373075369214885,0.3630902765459246,False
XRP,90,120,1.2373075369214885,0.9045352140137264,False
XRP,3,180,1.489234675959694,1.017370196550568,False
XRP,5,180,1.489234675959694,0.9824564734683418,False
XRP,10,180,1.489234675959694,0.8015452777318026,False
XRP,20,180,1.489234675959694,1.0186888515440486,False
XRP,30,180,1.489234675959694,0.43833612163849545,False
XRP,50,180,1.489234675959694,0.5783039545183882,False
XRP,60,180,1.489234675959694,0.8348386200016352,False
XRP,90,180,1.489234675959694,1.0957583457657425,False
XRP,120,180,1.489234675959694,0.7634277906787942,False
XRP,3,240,1.7410542273315854,0.6956545342774857,False
XRP,5,240,1.7410542273315854,0.5998562136048925,False
XRP,10,240,1.7410542273315854,0.5639439249906517,False
XRP,20,240,1.7410542273315854,0.7919248826470886,False
XRP,30,240,1.7410542273315854,0.572318292653076,False
XRP,50,240,1.7410542273315854,1.2125988013638385,False
XRP,60,240,1.7410542273315854,1.2411900068757555,False
XRP,90,240,1.7410542273315854,1.0780132088898162,False
XRP,120,240,1.7410542273315854,1.1440492537273723,False
XRP,180,240,1.7410542273315854,1.9510128182861353,True
XRP,3,360,1.1786073161866886,0.9186311425321305,False
XRP,5,360,1.1786073161866886,1.0192783941590318,False
XRP,10,360,1.1786073161866886,1.0086563031724776,False
XRP,20,360,1.1786073161866886,1.3827928181683407,True
XRP,30,360,1.1786073161866886,1.4392626707663183,True
XRP,50,360,1.1786073161866886,1.3740439441577963,True
XRP,60,360,1.1786073161866886,1.3751302961483398,True
XRP,90,360,1.1786073161866886,1.3329150902203686,True
XRP,120,360,1.1786073161866886,2.19936165968482,True
XRP,180,360,1.1786073161866886,2.2915159828740075,True
XRP,240,360,1.1786073161866886,1.822560915132079,True
