date,open,high,low,close,volume,amount,turn,pctChg
2010-11-23,5.2205985000,7.7312453000,4.8636345000,5.8244626000,27732682,1005752427.2300,86.664631,63.166660
2010-11-24,5.2414214000,5.6311071000,5.2414214000,5.2473708000,19322156,692489195.4200,60.381737,-9.908100
2010-11-25,5.3276877000,5.7724053500,5.2622443000,5.7724053500,16557794,611246894.6200,51.743106,10.005700
2010-11-26,5.6043348000,6.3494971500,5.5775625000,6.3494971500,18414134,752120274.0600,57.544169,9.997400
2010-11-29,6.3643706500,6.8685823000,6.2007621500,6.5844984500,14653228,645261452.7000,45.791338,3.701100
2010-11-30,6.4402255000,6.9310510000,6.2483573500,6.5889605000,13691223,611878961.9800,42.785072,0.067800
2010-12-01,6.3956050000,6.9905450000,6.3777568000,6.9102281000,11737494,534065863.7900,36.679669,4.875800
2010-12-02,6.9682347500,7.1095330000,6.6097834000,6.7005117500,9836095,451280790.7400,30.737797,-3.034900
2010-12-03,6.5592135000,6.6038340000,6.0386410000,6.0698753500,10372287,435924997.1100,32.413397,-9.411800
2010-12-06,5.9672482000,6.2468700000,5.8735451500,6.0535145000,6694523,274248020.8900,20.920384,-0.269500
2010-12-07,6.0237675000,6.0237675000,5.5790498500,5.8274373000,6915332,267966541.0600,21.610413,-3.734600
2010-12-08,5.7857915000,6.0386410000,5.7634812500,5.8304120000,4919080,194295312.1000,15.372125,0.051000
2010-12-09,5.7560445000,5.7560445000,5.4481630500,5.4823721000,5326157,199617425.1600,16.644241,-5.969400
2010-12-10,5.5775625000,5.7411710000,5.4853468000,5.6935758000,4327794,163015296.4300,13.524356,3.852400
2010-12-13,5.7515824500,5.9925331500,5.6147462500,5.8780072000,5871152,229816181.9700,18.347350,3.239300
2010-12-14,5.8675957500,6.4655104500,5.7709180000,6.3539592000,9813732,403141552.4200,30.667912,8.097200
2010-12-15,6.2528194000,6.4550990000,6.0683880000,6.1130085000,7710864,324452552.7700,24.096450,-3.792100
2010-12-16,6.1130085000,6.3331363000,6.0535145000,6.1620910500,4382084,182624246.9900,13.694012,0.802900
2010-12-17,6.0981350000,6.2096862500,6.0669006500,6.0981350000,3060499,125814298.2200,9.564059,-1.037900
2010-12-20,6.0906982500,6.1710151500,5.6221830000,5.8497475500,4083263,162128189.1100,12.760197,-4.073200
2010-12-21,5.8274373000,5.8988301000,5.7426583500,5.8601590000,2583544,101106361.7400,8.073575,0.178000
2010-12-22,5.8765198500,6.1338314000,5.7843041500,6.0297169000,3704790,149121966.5100,11.577469,2.893400
2010-12-23,5.9642735000,6.3063640000,5.9375012000,6.2394332500,6211275,259121458.9300,19.410234,3.478000
2010-12-24,6.1799392500,6.2691802500,5.7694306500,5.7709180000,4409710,175585910.0400,13.780344,-7.508900
2010-12-27,5.8095891000,5.8750325000,5.4660112500,5.5597143000,3199202,121779930.3300,9.997506,-3.659800
2010-12-28,5.5180685000,5.5552522500,5.2622443000,5.4109793000,2040799,74071766.8800,6.377497,-2.675200
2010-12-29,5.4288275000,5.6013601000,5.3618967500,5.5790498500,1645315,60664667.3000,5.141609,3.106100
2010-12-30,5.6519300000,5.6519300000,5.4377516000,5.5031950000,1651072,61218587.4500,5.159600,-1.359600
2010-12-31,5.4808847500,5.5849992500,5.4585745000,5.5552522500,1646869,61239016.2400,5.146466,0.945900
2011-01-04,5.6221830000,5.7054746000,5.5567396000,5.6474679500,2056873,77836747.4500,6.427728,1.660000
2011-01-05,5.6087968500,5.6192083000,5.4957582500,5.5061697000,2096250,78012032.0700,6.550781,-2.502000
2011-01-06,5.5106317500,5.5255052500,5.3395865000,5.3559473500,2109524,76518550.0100,6.592262,-2.728300
2011-01-07,5.3143015500,5.4734480000,5.3098395000,5.3633841000,1451452,52568539.0700,4.535787,0.138900
2011-01-10,5.3559473500,5.4600618500,5.2800925000,5.3024027500,1166197,42139359.1700,3.644366,-1.137000
2011-01-11,5.2875292500,5.3842070000,4.9974960000,5.1045852000,1966175,67666996.7500,6.144297,-3.730700
2011-01-12,5.1060725500,5.1997756000,5.0569900000,5.1566424500,947795,32744632.7100,2.961859,1.019800
2011-01-13,5.1759780000,5.2042376500,5.0822749500,5.0897117000,835875,28736616.5700,2.612109,-1.298000
2011-01-14,5.0837623000,5.0867370000,4.8517357000,4.8651218500,1372441,45328765.8000,4.288878,-4.412600
2011-01-17,4.9082550000,5.1090472500,4.8933815000,4.9528755000,1862561,62527230.1600,5.820503,1.803700
2011-01-18,4.9082550000,5.3455359000,4.9082550000,5.2369593500,3464882,120269407.0300,10.827756,5.735700
2011-01-19,5.2205985000,5.2652190000,5.0911990500,5.2518328500,2324904,81137112.5400,7.265325,0.284000
