date,open,high,low,close,volume,amount,turn,pctChg
2000-03-01,1.5818039600,1.9441033700,1.4941890700,1.8186009600,56169480,411515631.7000,64.193691,88.235300
2000-03-02,1.7286181000,2.0009346500,1.6575790000,2.0009346500,33734766,258356852.0300,38.554018,10.026040
2000-03-03,2.1027573600,2.2022121000,2.0246143500,2.2022121000,13987302,126222280.1600,15.985488,10.059180
2000-03-06,2.4224333100,2.4224333100,2.2921949600,2.3561301500,23313484,237063081.4800,26.643982,6.989243
2000-03-07,2.2495715000,2.5692474500,2.1217011200,2.4342731600,30795772,302215401.5900,35.195168,3.316582
2000-03-08,2.3679700000,2.3916497000,2.2424675900,2.2874590200,15839782,153778755.9600,18.102608,-6.031127
2000-03-09,2.2874590200,2.3158746600,2.1548527000,2.1998441300,12109867,112500832.3100,13.839848,-3.830226
2000-03-10,2.1998441300,2.2803551100,2.1311730000,2.2069480400,8298790,77437657.2800,9.484331,0.322925
2000-03-13,2.1737964600,2.2377316500,2.1501167600,2.1998441300,4323187,39747697.1000,4.940785,-0.321886
2000-03-14,2.1785324000,2.2661472900,2.0151424700,2.2164199200,7781891,70131731.8100,8.893590,0.753495
2000-03-15,2.2022121000,2.4342731600,2.1666925500,2.3442903000,16033501,158100411.0100,18.324001,5.769230
2000-03-16,2.3206106000,2.3395543600,2.1785324000,2.1998441300,8006599,76043137.5800,9.150399,-6.161613
2000-03-17,2.1737964600,2.2850910500,2.1666925500,2.2495715000,5932754,56200947.2100,6.780290,2.260495
2000-03-20,2.2258918000,2.4650567700,2.2022121000,2.4579528600,14156103,144158696.4500,16.178403,9.263160
2000-03-21,2.4863685000,2.7042217400,2.3703379700,2.7042217400,24535760,271537502.8400,28.040869,10.019270
2000-03-22,2.7444772300,2.8107803900,2.5100482000,2.5905591800,18964106,211526825.1800,21.673264,-4.203157
2000-03-23,2.5810873000,2.7207975300,2.5574076000,2.6521264000,9877816,110733779.3000,11.288933,2.376602
2000-03-24,2.6521264000,2.7421092600,2.5100482000,2.5313599300,10105624,112169722.3800,11.549285,-4.553574
2000-03-27,2.5218880500,2.6734381300,2.4745286500,2.6023990300,6946771,75148665.1200,7.939167,2.806363
2000-03-28,2.6047670000,2.6497584300,2.5124161700,2.5668794800,6089306,65698660.4800,6.959207,-1.364874
2000-03-29,2.5668794800,2.6000310600,2.4295372200,2.4626888000,6789542,71111527.2300,7.759477,-4.059045
2000-03-30,2.4626888000,2.5289919600,2.4390091000,2.5053122600,4185776,44018507.1900,4.783744,1.730772
2000-03-31,2.4887364700,2.6521264000,2.4413770700,2.5810873000,6502510,70620616.0600,7.431440,3.024572
2000-04-03,2.5858232400,2.6284467000,2.5100482000,2.5195200800,3163549,34168549.9900,3.615485,-2.385314
2000-04-04,2.5076802300,2.5076802300,2.4342731600,2.4484809800,3308131,34453942.2100,3.780721,-2.819551
2000-04-05,2.4271692500,2.5218880500,2.4271692500,2.4863685000,1887772,19698436.5700,2.157454,1.547387
2000-04-06,2.5100482000,2.5810873000,2.4697927100,2.5195200800,2162430,22968525.8700,2.471349,1.333337
