date,open,high,low,close,volume,amount,turn,pctChg,adjustflag
2013-09-18,40.5000000000,46.4000000000,39.8800000000,42.2400000000,38889754,1681303472.0000,5.666434,-5.206462,1
2013-09-23,41.9000000000,46.4600000000,40.6700000000,46.2000000000,31851606,1406017536.0000,4.640941,9.375000,1
2013-09-24,45.4900000000,46.1500000000,44.4000000000,44.6100000000,20004514,901506352.0000,2.914759,-3.441600,1
2013-09-25,44.0100000000,47.1400000000,44.0000000000,45.0500000000,17165136,781787168.0000,2.501047,0.986300,1
2013-09-26,44.6500000000,45.0700000000,42.4500000000,43.0000000000,14680801,640034816.0000,2.139067,-4.550500,1
2013-09-27,43.0000000000,44.3000000000,42.6700000000,43.0000000000,8561465,372250416.0000,1.247449,0.000000,1
2013-09-30,42.9900000000,43.8000000000,42.8800000000,43.2400000000,7668272,331344576.0000,1.117306,0.558100,1
2013-10-08,43.0000000000,45.2100000000,42.9000000000,44.9900000000,11112977,493442848.0000,1.619217,4.047200,1
2013-10-09,44.6500000000,45.5400000000,44.0000000000,44.6800000000,8305418,370734064.0000,1.210142,-0.689000,1
2013-10-10,44.5000000000,46.3600000000,44.1400000000,45.7100000000,15625661,708889936.0000,2.276738,2.305300,1
2013-10-11,46.0000000000,46.0500000000,45.2500000000,45.5300000000,7969766,363516960.0000,1.161235,-0.393800,1
2013-10-14,45.5200000000,46.3300000000,44.6000000000,46.0000000000,9646785,441424912.0000,1.405585,1.032300,1
2013-10-15,46.0000000000,46.0000000000,44.8500000000,45.1500000000,9241988,419089536.0000,1.346605,-1.847800,1
2013-10-16,44.7600000000,45.8800000000,43.7000000000,44.6700000000,8918362,397199760.0000,1.299451,-1.063100,1
2013-10-17,44.6800000000,45.1000000000,44.2200000000,44.6100000000,5552669,247582778.0000,0.809052,-0.134300,1
2013-10-18,44.5200000000,46.8000000000,44.3000000000,46.0100000000,10420989,478846160.0000,1.518391,3.138300,1
2013-10-21,46.2000000000,48.1000000000,45.6800000000,47.8500000000,13565868,638065952.0000,1.976616,3.999100,1
2013-10-22,47.4000000000,48.3100000000,46.8800000000,47.4200000000,8214741,390719936.0000,1.196929,-0.898600,1
2013-10-23,47.4700000000,48.4300000000,45.9000000000,46.0900000000,8729030,407798448.0000,1.271864,-2.804700,1
2013-10-24,46.0000000000,49.6000000000,45.8400000000,47.5000000000,12218451,583397296.0000,1.780290,3.059200,1
2013-10-25,47.4300000000,48.8500000000,47.1100000000,47.7000000000,10233626,490068560.0000,1.491091,0.421100,1
2013-10-28,47.9700000000,49.5000000000,47.5000000000,49.4700000000,10446741,508354448.0000,1.522143,3.710700,1
2013-10-29,49.1000000000,49.6800000000,48.0100000000,48.9300000000,9652552,469601264.0000,1.406426,-1.091600,1
2013-10-30,49.0100000000,50.6600000000,48.6500000000,50.1700000000,12128524,604865248.0000,1.767187,2.534200,1
2013-10-31,50.6800000000,50.8000000000,47.9300000000,48.4000000000,10073288,491851072.0000,1.467729,-3.528000,1
2013-11-01,47.7900000000,48.7900000000,47.3300000000,47.7600000000,7205717,344516592.0000,1.049910,-1.322300,1
2013-11-04,47.6000000000,48.5000000000,47.6000000000,47.9900000000,4962214,238322433.0000,0.723020,0.481600,1
2013-11-05,47.5200000000,48.4100000000,47.0800000000,48.1900000000,5475095,261530183.0000,0.797749,0.416800,1
2013-11-06,47.9800000000,48.2300000000,46.2100000000,46.7500000000,6025131,284031664.0000,0.877892,-2.988200,1
2013-11-07,46.5200000000,46.9300000000,45.1600000000,46.2200000000,6205677,283865712.0000,0.904199,-1.133700,1
2013-11-08,45.8000000000,46.2000000000,45.3300000000,45.6600000000,3341133,153053748.0000,0.486820,-1.211600,1
2013-11-11,45.6900000000,46.0000000000,44.6100000000,45.7800000000,3580989,162564568.0000,0.521768,0.262800,1
2013-11-12,45.8800000000,47.0200000000,45.5000000000,46.3500000000,6472993,301452112.0000,0.943148,1.245100,1
2013-11-13,45.8600000000,46.3400000000,45.5000000000,45.5000000000,3048409,139594995.0000,0.444169,-1.833900,1
2013-11-14,45.5500000000,46.3200000000,44.6700000000,46.0000000000,5436007,246139982.0000,0.792054,1.098900,1
2013-11-15,45.8700000000,47.0600000000,45.6100000000,46.2000000000,6421521,298879168.0000,0.935648,0.434800,1
2013-11-18,46.3500000000,47.0800000000,46.1000000000,46.8900000000,4983041,232323741.0000,0.726054,1.493500,1
2013-11-19,46.8800000000,47.5000000000,46.5100000000,46.9700000000,5316174,250109367.0000,0.774594,0.170600,1
2013-11-20,47.4800000000,47.4800000000,46.4100000000,46.6800000000,4172673,195299676.0000,0.607980,-0.617400,1
2013-11-21,46.7000000000,46.7000000000,45.0500000000,45.7100000000,6602904,300714512.0000,0.962077,-2.078000,1
2013-11-22,45.8500000000,46.8500000000,45.6600000000,46.5800000000,4428863,205574946.0000,0.645308,1.903300,1
2013-11-25,45.8300000000,46.3100000000,45.5800000000,45.9600000000,6320252,289730112.0000,0.920893,-1.331000,1
2013-11-26,45.9100000000,47.2000000000,45.7000000000,47.1900000000,7858305,367247552.0000,1.144995,2.676200,1
2013-11-27,47.2000000000,47.2900000000,46.2500000000,46.5900000000,5417393,252670204.0000,0.789342,-1.271500,1
2013-11-28,46.6000000000,47.9700000000,46.6000000000,47.6700000000,7237994,343994304.0000,1.054612,2.318100,1
2013-11-29,47.5200000000,48.0000000000,47.2800000000,47.9100000000,5125945,244627679.0000,0.746876,0.503500,1
2013-12-02,47.0200000000,47.1900000000,46.0300000000,46.1300000000,6513376,304178448.0000,0.949032,-3.715300,1
2013-12-03,46.0000000000,47.0900000000,46.0000000000,47.0200000000,5606801,261874434.0000,0.816939,1.929300,1
2013-12-04,47.0000000000,48.4000000000,46.8000000000,47.9400000000,5726006,274690864.0000,0.834308,1.956600,1
2013-12-05,48.0600000000,48.8800000000,47.8900000000,48.5400000000,5473742,265569524.0000,0.797552,1.251600,1
2013-12-06,48.5900000000,48.6300000000,47.7300000000,48.4000000000,3844333,185057340.0000,0.560139,-0.288400,1
2013-12-09,48.4500000000,48.9700000000,47.9500000000,48.4900000000,4707669,227857524.0000,0.685931,0.186000,1
2013-12-10,48.8000000000,50.4700000000,48.8000000000,49.6800000000,10813891,538909456.0000,1.575639,2.454100,1
2013-12-11,49.4500000000,50.0000000000,47.8400000000,48.3800000000,6295245,309155360.0000,0.917249,-2.616700,1
2013-12-12,48.2000000000,49.4900000000,47.6800000000,49.3100000000,4568478,221437140.0000,0.665650,1.922300,1
2013-12-13,48.5100000000,50.9000000000,48.4200000000,50.1500000000,10987469,551962432.0000,1.600930,1.703500,1
2013-12-16,50.1400000000,51.5000000000,49.8000000000,49.9100000000,9577462,485809120.0000,1.395485,-0.478600,1
2013-12-17,49.9600000000,50.1000000000,48.9200000000,49.0000000000,6405805,315460848.0000,0.933358,-1.823300,1
2013-12-18,48.9800000000,50.5000000000,48.5000000000,50.4900000000,6406127,318806464.0000,0.933405,3.040800,1
2013-12-19,50.7500000000,51.3800000000,49.8900000000,49.8900000000,6346406,320375904.0000,0.924704,-1.188400,1
2013-12-20,49.6000000000,52.0000000000,49.4100000000,51.7800000000,20368231,1029695712.0000,2.967755,3.788300,1
