date,open,high,low,close,volume,amount,turn,pctChg,adjustflag
2010-01-21,26.5100000000,30.0000000000,26.5100000000,28.8300000000,63250753,1789473307.0000,75.298515,20.225190,1
2010-01-22,27.7200000000,28.0000000000,26.0000000000,26.3300000000,27443251,741980521.0000,32.670537,-8.671500,1
2010-01-25,26.0000000000,27.4900000000,25.5300000000,26.5400000000,15049789,400466421.0000,17.916415,0.797600,1
2010-01-26,26.2000000000,26.5300000000,24.4000000000,24.8900000000,13791210,347739873.0000,16.418107,-6.217000,1
2010-01-27,24.8900000000,25.2400000000,24.1000000000,24.2800000000,8620564,212175963.0000,10.262576,-2.450800,1
2010-01-28,24.0600000000,24.3600000000,23.1500000000,23.5600000000,10962955,259953827.0000,13.051137,-2.965400,1
2010-01-29,23.3000000000,23.9900000000,23.2600000000,23.4100000000,8087208,190694495.0000,9.627629,-0.636700,1
2010-02-01,23.3000000000,23.3000000000,21.9600000000,22.0600000000,8805519,196959853.0000,10.482761,-5.766800,1
2010-02-02,22.3100000000,23.4800000000,21.8900000000,23.0500000000,9979229,225806566.0000,11.880035,4.487800,1
2010-02-03,22.7700000000,23.4000000000,22.0900000000,23.3800000000,8030188,183582181.0000,9.559748,1.431700,1
2010-02-04,23.0000000000,24.1400000000,22.8300000000,23.5500000000,9217685,217071407.0000,10.973435,0.727100,1
2010-02-05,22.7900000000,23.1500000000,22.5100000000,22.6800000000,5221315,119075393.0000,6.215851,-3.694300,1
2010-02-08,22.5000000000,23.2300000000,22.5000000000,22.7100000000,3427804,78392028.0000,4.080719,0.132300,1
2010-02-09,22.5000000000,22.7000000000,22.1000000000,22.2600000000,3480731,77876214.0000,4.143727,-1.981500,1
2010-02-10,22.5400000000,22.6000000000,22.2600000000,22.3900000000,2490505,55859703.0000,2.964887,0.584000,1
2010-02-11,22.3100000000,22.5500000000,22.0000000000,22.2200000000,3016374,67351081.0000,3.590921,-0.759300,1
2010-02-12,22.2800000000,22.6500000000,22.2400000000,22.6300000000,2723629,61216647.0000,3.242415,1.845200,1
2010-02-22,22.5600000000,23.1000000000,22.4200000000,22.8300000000,3428430,78104191.0000,4.081464,0.883800,1
2010-02-23,22.6800000000,22.8100000000,22.3000000000,22.5900000000,2828252,63690769.0000,3.366967,-1.051200,1
2010-02-24,22.6200000000,23.3600000000,22.4500000000,23.3400000000,4752628,109479521.0000,5.657890,3.320100,1
2010-02-25,23.4400000000,23.8800000000,23.1600000000,23.6300000000,6443300,151859582.0000,7.670595,1.242500,1
2010-02-26,23.6000000000,23.8400000000,23.3200000000,23.5100000000,3818240,90003212.0000,4.545524,-0.507800,1
2010-03-01,23.4000000000,23.7500000000,23.3200000000,23.5000000000,4283725,100691555.0000,5.099673,-0.042500,1
2010-03-02,23.5200000000,24.2900000000,23.3900000000,23.9800000000,6593648,158179627.0000,7.849581,2.042600,1
2010-03-03,24.0400000000,24.6500000000,23.6900000000,23.9700000000,5608093,135715237.0000,6.676301,-0.041700,1
2010-03-04,24.0200000000,24.2000000000,22.8800000000,22.9200000000,5825511,137120273.0000,6.935132,-4.380500,1
2010-03-05,22.8900000000,23.2400000000,22.8800000000,22.9900000000,2936259,67673045.0000,3.495546,0.305400,1
2010-03-08,22.9100000000,23.4200000000,22.8900000000,23.2800000000,2605172,60637401.0000,3.101395,1.261400,1
2010-03-09,23.3400000000,23.5400000000,22.9000000000,23.2600000000,2443992,56835815.0000,2.909514,-0.085900,1
2010-03-10,23.3700000000,23.3700000000,22.8100000000,22.9600000000,2000798,46173196.0000,2.381902,-1.289800,1
2010-03-11,22.9400000000,23.4500000000,22.9100000000,23.2300000000,2170891,50362012.0000,2.584394,1.176000,1
2010-03-12,23.2300000000,24.1000000000,23.0500000000,23.8400000000,5350284,126089105.0000,6.369386,2.625900,1
2010-03-15,23.8000000000,23.8000000000,23.1100000000,23.3700000000,3418711,80405805.0000,4.069894,-1.971500,1
2010-03-16,23.2300000000,23.5500000000,22.9100000000,23.1900000000,2029265,47037401.0000,2.415792,-0.770200,1
2010-03-17,23.2500000000,23.8800000000,23.1200000000,23.6700000000,2983958,70229130.0000,3.552331,2.069900,1
2010-03-18,23.6800000000,24.0300000000,23.5700000000,23.7100000000,3467851,82632681.0000,4.128394,0.169000,1
2010-03-19,23.7700000000,23.8300000000,23.4500000000,23.6500000000,2197758,51816653.0000,2.616379,-0.253100,1
2010-03-22,23.6800000000,23.9500000000,23.5500000000,23.7600000000,2299996,54642088.0000,2.738090,0.465100,1
2010-03-23,23.7500000000,23.7500000000,23.2100000000,23.2200000000,3151714,73622370.0000,3.752040,-2.272700,1
2010-03-24,23.2300000000,23.5200000000,23.1000000000,23.3500000000,2597866,60545067.0000,3.092698,0.559900,1
2010-03-25,23.3700000000,23.3700000000,23.1000000000,23.2300000000,2962394,68702016.0000,3.526660,-0.513900,1
2010-03-26,23.2300000000,23.4000000000,22.9000000000,23.3000000000,2607667,60490068.0000,3.104365,0.301300,1
2010-03-29,23.4900000000,24.3200000000,23.4900000000,23.9800000000,7151442,171432310.0000,8.513621,2.918500,1
2010-03-30,23.9900000000,24.4900000000,23.7100000000,24.4100000000,6211108,149992302.0000,7.394176,1.793200,1
2010-03-31,24.4300000000,24.9700000000,24.2000000000,24.4900000000,6881842,169385963.0000,8.192669,0.327700,1
2010-04-01,24.4400000000,26.9400000000,24.4100000000,26.4300000000,17288809,454293033.0000,20.581915,7.921600,1
2010-04-02,26.1900000000,26.2200000000,25.6000000000,25.9800000000,9317912,241400990.0000,11.092752,-1.702600,1
2010-04-06,26.1700000000,26.9700000000,26.0200000000,26.3900000000,6348802,168229277.0000,7.558098,1.578100,1
2010-04-07,26.3800000000,26.9000000000,25.8000000000,26.8800000000,6353882,168136414.0000,7.564145,1.856800,1
2010-04-08,26.6600000000,27.6000000000,25.8000000000,25.8400000000,8914375,237523174.0000,10.612351,-3.869000,1
2010-04-09,25.9000000000,26.2600000000,25.4100000000,25.9900000000,6543582,168936509.0000,7.789979,0.580500,1
2010-04-12,25.8900000000,25.8900000000,24.7700000000,25.2100000000,9840597,247970711.0000,11.714996,-3.001200,1
2010-04-13,25.0700000000,25.4500000000,24.1800000000,24.8300000000,7026417,174351733.0000,8.364782,-1.507300,1
2010-04-14,24.7100000000,25.3700000000,24.6000000000,24.9900000000,3323197,83152635.0000,3.956187,0.644400,1
2010-04-15,25.0000000000,25.0000000000,24.3400000000,24.4600000000,4182673,102867803.0000,4.979373,-2.120800,1
2010-04-16,24.4900000000,24.9800000000,24.4900000000,24.6700000000,2674078,66194963.0000,3.183426,0.858500,1
2010-04-19,24.5000000000,24.9600000000,23.8500000000,23.8600000000,4015518,98104311.0000,4.780379,-3.283300,1
2010-04-20,23.8500000000,24.2300000000,23.5100000000,23.9900000000,3028417,72259367.0000,3.605258,0.544800,1
2010-04-21,23.8100000000,24.3000000000,23.4000000000,24.2700000000,10123209,240949483.0000,9.641151,1.167200,1
2010-04-22,24.3000000000,25.5900000000,24.0700000000,25.3600000000,14126722,352681342.0000,13.454021,4.491100,1
2010-04-23,25.1000000000,25.4500000000,24.8200000000,25.0300000000,6737874,169237463.0000,6.417023,-1.301300,1
2010-04-26,25.0300000000,25.6800000000,24.8600000000,24.9300000000,7548051,191129485.0000,7.188620,-0.399500,1
2010-04-27,24.8500000000,24.8500000000,23.9500000000,24.4300000000,6023442,145436544.0000,5.736611,-2.005600,1
2010-04-28,24.1500000000,24.3700000000,23.5200000000,24.0400000000,3107345,74745122.0000,2.959376,-1.596400,1
2010-04-29,24.0600000000,24.3800000000,23.3200000000,23.3700000000,4149047,99063183.0000,3.951473,-2.787000,1
2010-04-30,23.3700000000,23.6900000000,22.0000000000,22.6300000000,4956273,112461268.0000,4.720260,-3.166500,1
2010-05-04,22.1900000000,22.8600000000,22.0100000000,22.4000000000,2255595,50716435.0000,2.148186,-1.016400,1
2010-05-05,22.2100000000,22.9900000000,22.1100000000,22.9800000000,3145596,71273624.0000,2.995806,2.589300,1
2010-05-06,22.9600000000,23.1800000000,22.1200000000,22.2100000000,3135498,71072771.0000,2.986189,-3.350700,1
2010-05-07,21.8900000000,21.8900000000,21.0400000000,21.2100000000,3602774,77286554.0000,3.431213,-4.502500,1
2010-05-10,21.1500000000,21.5000000000,20.3700000000,20.9300000000,3397390,70963015.0000,3.235610,-1.320100,1
2010-05-11,21.4500000000,21.5300000000,20.5100000000,20.6500000000,2574238,54071740.0000,2.451655,-1.337800,1
2010-05-13,20.6600000000,21.1700000000,19.8000000000,21.1600000000,3585406,73774282.0000,3.414672,2.469700,1
2010-05-14,20.9500000000,21.2000000000,20.7100000000,20.8800000000,2023583,42401078.0000,1.927222,-1.323300,1
2010-05-17,20.1100000000,20.5600000000,18.7900000000,18.8000000000,4402559,86100235.0000,4.192913,-9.961700,1
2010-05-18,18.7200000000,19.2200000000,18.4500000000,18.8400000000,3016408,56777619.0000,2.872770,0.212800,1
2010-05-19,18.5800000000,19.1500000000,18.5000000000,18.8300000000,2861264,53835995.0000,2.725013,-0.053100,1
2010-05-20,18.7000000000,19.1400000000,18.5000000000,18.5400000000,2827064,53245433.0000,2.692442,-1.540100,1
2010-05-21,17.9200000000,18.7300000000,17.8000000000,18.5800000000,3881458,71193987.0000,3.696627,0.215700,1
2010-05-24,18.8500000000,20.1400000000,18.8300000000,20.0300000000,6367255,124897362.0000,6.064052,7.804100,1
2010-05-25,19.9300000000,20.5000000000,19.6000000000,20.0800000000,5614470,112582481.0000,5.347114,0.249600,1
2010-05-26,20.0000000000,20.2800000000,19.8100000000,20.0200000000,3440629,68997074.0000,3.276790,-0.298800,1
2010-05-27,20.0200000000,20.5500000000,19.6000000000,20.4900000000,4352726,87986367.0000,4.145453,2.347700,1
2010-05-28,20.8333499100,20.8838427600,19.1872830000,19.9244786100,5681513,113061295.0000,5.410965,-2.760000,1
2010-05-31,19.7124086400,19.9951686000,19.1872830000,19.1872830000,2975142,57732410.0000,2.833469,-3.699900,1
2010-06-01,18.9752130300,19.4094515400,18.8237344800,19.1569872900,2735126,51719351.0000,2.604882,-0.157900,1
2010-06-02,19.1569872900,19.5407329500,18.9146216100,19.5306343800,2138330,40765669.0000,2.036505,1.950400,1
2010-06-03,19.6013243700,19.8537886200,19.2074801400,19.3387615500,2468233,47918086.0000,2.350698,-0.982400,1
2010-06-04,19.1872830000,19.4397472500,19.0257058800,19.3488601200,2003725,38234640.0000,1.908310,0.052200,1
2010-06-07,18.8843259000,20.0658585900,18.7631430600,19.9648728900,4251485,82704829.0000,4.049033,3.183700,1
2010-06-08,19.8941829000,20.5808856600,19.7931972000,20.3183228400,3669309,73448299.0000,3.494580,1.770400,1
2010-06-09,20.3486185500,20.6515756500,20.0355628800,20.5000971000,3947134,79698749.0000,3.759175,0.894624,1
2010-06-10,20.5000971000,20.5000971000,20.2779285600,20.3486185500,2021211,40781667.0000,1.924963,-0.738900,1
2010-06-11,20.3890128300,20.5909842300,19.8840843300,20.0355628800,3192241,63812125.0000,3.040230,-1.538500,1
2010-06-17,20.1668442900,20.5202942400,19.8739857600,19.8941829000,1864465,37302475.0000,1.775681,-0.705600,1
2010-06-18,19.9951686000,20.0961543000,18.5005802400,18.8136359100,4635819,88416198.0000,4.415066,-5.431500,1
2010-06-21,18.8843259000,19.3488601200,18.5813688000,19.3488601200,2431520,45814544.0000,2.315733,2.844900,1
2010-06-22,19.1872830000,19.5306343800,19.1367901500,19.2781701300,1545156,29596615.0000,1.471577,-0.365300,1
2010-06-23,19.1872830000,19.5912258000,19.0661001600,19.3589586900,1400275,26797967.0000,1.333595,0.419100,1
2010-06-24,19.3690572600,19.5205358100,18.9853116000,19.1367901500,1739205,33067099.0000,1.656386,-1.147600,1
2010-06-25,18.9853116000,19.2680715600,18.8035373400,18.9651144600,2086191,39308432.0000,1.986849,-0.897100,1
2010-06-28,18.9550158900,19.1670858600,18.7833402000,18.9954101700,1455430,27301098.0000,1.386124,0.159700,1
2010-06-29,19.1771844300,19.2478744200,18.1572288600,18.1875245700,3606460,66925064.0000,3.434724,-4.253100,1
2010-06-30,18.1471302900,18.2683131300,17.6523003600,17.9249617500,2435855,43220855.0000,2.319862,-1.443600,1
2010-07-01,17.9249617500,18.3491016900,17.7734832000,17.8239760500,1688935,30193057.0000,1.608510,-0.563400,1
2010-07-02,17.9148631800,17.9552574600,17.1877661400,17.8239760500,1872075,32770259.0000,1.782929,0.000000,1
2010-07-05,17.6321032200,17.6321032200,17.0362875900,17.2483575600,2844911,48676382.0000,2.709439,-3.229500,1
2010-07-06,17.1675690000,17.6724975000,17.1675690000,17.6321032200,2493454,43280310.0000,2.374718,2.224800,1
2010-07-07,17.6623989300,17.9249617500,17.6623989300,17.8643703300,2096637,36949222.0000,1.996797,1.317300,1
2010-07-08,17.9552574600,17.9956517400,17.5715118000,17.6523003600,1212554,21280099.0000,1.154813,-1.187100,1
2010-07-09,17.4806246700,18.3289045500,17.4806246700,18.3289045500,3367854,60261633.0000,3.207480,3.833000,1
2010-07-12,18.4298902500,18.5409745200,18.2077217100,18.3692988300,2869643,52280820.0000,2.732993,0.220400,1
2010-07-13,18.3390031200,19.0560015900,18.1774260000,18.6722559300,3938832,73137673.0000,3.751269,1.649300,1
2010-07-14,18.7732416300,18.9045230400,18.3692988300,18.5409745200,2341801,43253574.0000,2.230287,-0.703100,1
2010-07-15,18.4803831000,18.6520587900,18.0158488800,18.0259474500,1664251,30211346.0000,1.585001,-2.777800,1
2010-07-16,17.9653560300,18.1673274300,17.7532860600,18.1572288600,1469296,26072877.0000,1.399330,0.728287,1
2010-07-19,17.9249617500,18.6015659400,17.8845674700,18.5308759500,1822925,33097910.0000,1.736119,2.057800,1
2010-07-20,18.4803831000,19.1872830000,18.4803831000,19.0560015900,3928260,73398528.0000,3.741200,2.833800,1
2010-07-21,18.9853116000,19.2276772800,18.8944244700,19.0459030200,2854072,53910807.0000,2.718164,-0.053000,1
2010-07-22,19.0257058800,19.4498458200,18.8843259000,19.3892544000,3221692,61149907.0000,3.068278,1.802800,1
2010-07-23,19.4094515400,19.4094515400,18.7934387700,19.1670858600,2892198,54779650.0000,2.754474,-1.145800,1
2010-07-26,19.1670858600,19.2680715600,18.9449173200,19.2175787100,2502801,47355161.0000,2.383620,0.263400,1
2010-07-27,19.1064944400,19.6518172200,18.9954101700,19.3286629800,4028566,77513027.0000,3.836730,0.578000,1
2010-07-28,19.3488601200,19.7528029200,19.2377758500,19.7326057800,3747240,72826961.0000,3.568800,2.089900,1
2010-07-29,19.8133943400,20.5202942400,19.7225072100,20.4899985300,6319460,125942428.0000,6.018533,3.838300,1
2010-07-30,20.2577314200,20.4193085400,20.1062528700,20.1971400000,3159383,63293336.0000,3.008936,-1.429300,1
2010-08-02,20.1971400000,20.4496042500,20.0254643100,20.3789142600,3290122,65973982.0000,3.133450,0.900000,1
2010-08-03,20.3890128300,20.9040399000,20.2981257000,20.4698013900,4724400,96374118.0000,4.499429,0.446000,1
2010-08-04,20.3082242700,20.4899985300,19.7427043500,20.3385199800,3896315,77609811.0000,3.710776,-0.641300,1
2010-08-05,20.1971400000,20.4899985300,20.0961543000,20.2678299900,2919316,58773569.0000,2.780301,-0.347600,1
2010-08-06,20.3284214100,20.7525613500,20.0860557300,20.7222656400,3342748,67882773.0000,3.183570,2.242200,1
2010-08-09,20.9141384700,21.5907426600,20.9141384700,21.5705455200,4920576,104390180.0000,4.686263,4.093600,1
2010-08-10,21.8230097700,21.9037983300,20.7525613500,20.7727584900,4805767,100604894.0000,4.576921,-3.698500,1
2010-08-11,20.6616742200,21.4897569600,20.5808856600,20.8131527700,4727065,98059623.0000,4.501967,0.194500,1
2010-08-12,20.6010828000,21.0050256000,20.3486185500,20.6616742200,2840326,58107521.0000,2.705072,-0.727800,1
2010-08-13,20.6818713600,20.9040399000,20.2577314200,20.8636456200,2870858,58570654.0000,2.734150,0.977500,1
2010-08-16,20.8535470500,21.7523197800,20.7020685000,21.6412355100,5326175,112831480.0000,5.072548,3.727000,1
2010-08-17,21.7119255000,22.3986282600,21.5705455200,22.3784311200,5027623,109551007.0000,4.788212,3.406400,1
2010-08-18,22.3380368400,22.9742467500,22.0350797400,22.2673468500,3809401,84374386.0000,3.628001,-0.496400,1
2010-08-19,22.2168540000,22.3683325500,21.7220240700,21.8533054800,4936542,107566542.0000,4.701469,-1.859400,1
2010-08-20,21.6412355100,21.8432069100,21.3281798400,21.3483769800,2796123,59666309.0000,2.662974,-2.310500,1
