date,open,high,low,close,volume,amount,turn,pctChg,adjustflag
2011-03-02,40.0000000000,40.0000000000,38.0000000000,38.2200000000,12093148,465385706.6100,30.232870,-4.449997,1
2011-03-03,38.2800000000,38.4700000000,37.5000000000,37.6500000000,4661975,176382283.7400,11.654937,-1.491400,1
2011-03-04,37.7500000000,37.9400000000,37.5000000000,37.7900000000,1957562,73902876.3400,4.893905,0.371800,1
2011-03-07,37.7900000000,37.9800000000,37.6000000000,37.9800000000,2300173,86764970.1600,5.750433,0.502800,1
2011-03-08,37.9000000000,37.9000000000,37.6300000000,37.7100000000,1523076,57426006.0600,3.807690,-0.710900,1
2011-03-09,37.6900000000,37.8600000000,37.6200000000,37.7200000000,1461236,55114081.4400,3.653090,0.026500,1
2011-03-10,37.7000000000,37.8600000000,37.5000000000,37.6000000000,1342436,50552139.3500,3.356090,-0.318100,1
2011-03-11,37.6800000000,37.7300000000,37.5100000000,37.5200000000,1336685,50229575.6000,3.341712,-0.212800,1
2011-03-14,37.5000000000,37.7500000000,37.5000000000,37.6300000000,906254,34054925.7400,2.265635,0.293200,1
2011-03-15,37.5600000000,37.6000000000,37.0100000000,37.2200000000,1914216,71149525.4100,4.785540,-1.089600,1
2011-03-16,37.1800000000,37.3500000000,37.0600000000,37.2300000000,878347,32656979.5300,2.195867,0.026900,1
2011-03-17,37.1800000000,37.1800000000,36.8100000000,36.9200000000,1268056,46815507.7700,3.170140,-0.832700,1
2011-03-18,36.9200000000,37.1100000000,36.9200000000,37.0100000000,506807,18750033.4400,1.267018,0.243800,1
2011-03-21,37.0000000000,37.0100000000,36.8300000000,36.8700000000,708245,26124073.1200,1.770612,-0.378300,1
2011-03-22,36.8700000000,37.8500000000,36.8600000000,37.5200000000,1993732,74613927.4600,4.984330,1.763000,1
2011-03-23,37.4500000000,37.5400000000,36.8800000000,37.2200000000,883873,32845465.1500,2.209682,-0.799600,1
2011-03-24,37.1900000000,37.3500000000,36.8900000000,36.9800000000,805372,29841800.8200,2.013430,-0.644800,1
2011-03-25,36.9700000000,37.1700000000,36.9700000000,37.1400000000,568878,21078614.3200,1.422195,0.432700,1
2011-03-28,37.1400000000,37.2500000000,36.8500000000,37.0000000000,942200,34829618.7100,2.355500,-0.377000,1
2011-03-29,36.9100000000,36.9900000000,36.5800000000,36.7000000000,991856,36388721.7300,2.479640,-0.810800,1
2011-03-30,36.7000000000,36.7200000000,36.5000000000,36.6000000000,631075,23092565.3000,1.577687,-0.272500,1
2011-03-31,36.5500000000,36.7400000000,36.2100000000,36.2500000000,582579,21201575.6800,1.456448,-0.956300,1
2011-04-01,36.3700000000,36.4600000000,36.2200000000,36.4200000000,322818,11724435.7800,0.807045,0.469000,1
2011-04-07,36.4200000000,36.7500000000,36.3100000000,36.5800000000,485626,17738353.4200,1.214065,0.439300,1
2011-04-08,36.5800000000,36.7400000000,36.4100000000,36.5600000000,389397,14232106.5600,0.973492,-0.054700,1
2011-04-11,36.6000000000,36.6900000000,36.4600000000,36.5000000000,402729,14710010.7900,1.006822,-0.164100,1
2011-04-12,36.4800000000,36.6800000000,36.4200000000,36.5900000000,433470,15827774.2600,1.083675,0.246600,1
2011-04-13,36.5000000000,36.7500000000,36.4800000000,36.7500000000,396699,14523716.3400,0.991748,0.437300,1
2011-04-14,36.7600000000,36.8500000000,36.6200000000,36.7200000000,426855,15668164.3200,1.067138,-0.081600,1
2011-04-15,36.5000000000,36.5600000000,35.9900000000,36.0300000000,976776,35338262.8000,2.441940,-1.879100,1
2011-04-18,36.0900000000,36.1300000000,35.8000000000,35.8700000000,587178,21078908.5900,1.467945,-0.444100,1
2011-04-19,35.7300000000,35.7300000000,35.4600000000,35.5800000000,576693,20494987.8900,1.441733,-0.808500,1
2011-04-20,35.5000000000,35.7000000000,35.4900000000,35.6600000000,332117,11822686.0700,0.830292,0.224800,1
2011-04-21,35.6600000000,35.6900000000,35.4900000000,35.5500000000,387237,13768483.5300,0.968093,-0.308500,1
2011-04-22,35.5300000000,35.5300000000,35.3100000000,35.5000000000,517509,18332196.7400,1.293772,-0.140600,1
2011-04-25,35.4500000000,35.5100000000,35.0100000000,35.0200000000,456709,16044215.1400,1.141773,-1.352100,1
2011-04-26,35.0200000000,35.0900000000,34.0000000000,34.5200000000,788130,27164765.3700,1.970325,-1.427800,1
2011-04-27,34.2300000000,34.5100000000,34.2100000000,34.3700000000,386868,13272692.8900,0.967170,-0.434500,1
2011-04-28,34.5000000000,34.5000000000,33.6400000000,34.0000000000,497349,16903705.4400,1.243372,-1.076500,1
2011-04-29,33.9800000000,34.0900000000,33.6200000000,34.0400000000,335487,11373930.8700,0.838718,0.117600,1
2011-05-03,34.1000000000,34.1400000000,33.7500000000,34.0900000000,206190,6998612.2000,0.515475,0.146900,1
2011-05-04,34.0000000000,34.2000000000,33.8500000000,34.1000000000,294862,10029167.5300,0.737155,0.029300,1
2011-05-05,33.9800000000,34.6800000000,33.9500000000,34.5100000000,489361,16859282.8500,1.223403,1.202300,1
2011-05-06,34.4400000000,34.5300000000,34.2200000000,34.3500000000,224733,7724927.7600,0.561833,-0.463600,1
2011-05-09,34.4000000000,34.7800000000,34.4000000000,34.4500000000,219750,7604800.5300,0.549375,0.291100,1
2011-05-10,34.4800000000,34.5800000000,34.0900000000,34.1300000000,228699,7825574.8800,0.571747,-0.928900,1
2011-05-11,34.0000000000,34.2200000000,34.0000000000,34.1000000000,123360,4208725.6000,0.308400,-0.087900,1
2011-05-12,34.0500000000,34.0500000000,33.6800000000,33.6800000000,271237,9175897.8700,0.678092,-1.231700,1
2011-05-13,33.6900000000,33.7400000000,33.1200000000,33.5400000000,301964,10100426.8200,0.754910,-0.415700,1
2011-05-16,33.7400000000,33.7400000000,33.3600000000,33.4400000000,200147,6718015.5700,0.500367,-0.298200,1
2011-05-17,33.5000000000,33.5000000000,33.1200000000,33.2700000000,165402,5502928.5900,0.413505,-0.508400,1
2011-05-18,33.2700000000,33.7000000000,33.2700000000,33.6500000000,214077,7190632.8300,0.535193,1.142200,1
2011-05-19,33.6500000000,33.6800000000,33.4500000000,33.5700000000,129141,4333757.0900,0.322852,-0.237700,1
2011-05-20,33.4000000000,33.6000000000,33.3000000000,33.3300000000,132750,4432404.5100,0.331875,-0.714900,1
2011-05-23,33.2100000000,33.2100000000,31.8700000000,31.8700000000,340850,11076173.0000,0.852125,-4.380400,1
2011-05-24,31.5800000000,31.7900000000,31.4900000000,31.7800000000,198245,6264366.8000,0.495612,-0.282400,1
2011-05-25,31.6300000000,31.8000000000,31.0300000000,31.0700000000,173569,5459548.5600,0.433923,-2.234100,1
2011-05-26,31.2000000000,31.6000000000,30.8000000000,30.8000000000,184109,5733899.9800,0.460273,-0.869000,1
2011-05-27,30.0000000000,30.5000000000,29.5000000000,29.6600000000,350732,10456379.3100,0.876830,-3.701300,1
